image_use_id,region_id,fileId,x,y,x_pct,y_pct,width,height,rotation
IU-001,R01,d6b1d011504b977930aa710b1ceec9038a1966b3,4836.123599551272,498.43104093036527,24.64,1.05,615.0,482.0,0.0
IU-002,R01,33ee5bc86fba10907bfede9f27883fc7474145e5,3573.11610422391,823.5592020734621,18.21,1.73,862.0,388.0,0.0
IU-003,R01,3ba9d991a7c6df51a91335c05afd9c729f63faf4,4829.173401383326,1008.2538965618733,24.61,2.12,811.0,468.0,0.0
IU-004,UNASSIGNED,6368f8adce83dfe65e71c0a90548198d79df4f74,3590.3758155954392,1238.9665642696345,18.29,2.6,826.0,412.0,0.0
IU-005,UNASSIGNED,cf6c2e813c38365981c1078a55308d52f1e22cd8,4807.079557867472,1505.5594627743703,24.49,3.16,946.0,146.0,0.0
IU-006,UNASSIGNED,335ef6b606fbf060616caa8b537dbffab198fd0e,4866.746590745076,1702.0040021623863,24.8,3.57,736.0,474.0,0.0
IU-007,UNASSIGNED,a9a9655e930f113f1ced5cc49e899518e32fb3ce,3613.3206529400277,1713.439966504884,18.41,3.59,586.0,482.0,0.0
IU-008,R02,77eaf12c681b2c9e72960a48300bb49cc8d99c32,10073.886186823931,2016.5617070346489,51.33,4.23,710.0,482.0,0.0
IU-009,UNASSIGNED,a7f13d6d3d3b3473b6e0dbf877368f6e85c5a570,4915.349454275431,2209.847874232699,25.05,4.64,495.0,482.0,0.0
IU-010,UNASSIGNED,b62d140856841e43c376a93d721c5d68cf2b833d,3601.5790219756464,2258.707395432837,18.35,4.74,811.0,414.0,0.0
IU-011,R02,1d512b6a911de2d60b2f44dc7d7a53b85fe11fec,8847.852948646734,2316.0433676656103,45.08,4.86,824.0,482.0,0.0
IU-012,R02,6114875a76f18137f4125d29b01d54e52acc2a1d,10050.811782091174,2521.4806934996377,51.21,5.29,907.0,475.0,0.0
IU-013,R02,768ded59fc596722cf1ec90a353854338e3bac61,11169.080227726396,2528.8261040872603,56.91,5.31,979.0,425.0,0.0
IU-014,UNASSIGNED,95f917ba2d6b81519c207673b01b4a0262a4b945,3651.116104223912,2706.207395432837,18.6,5.68,626.0,399.0,0.0
IU-015,UNASSIGNED,ad441bf8f82fd6998e264e868f3799c832ac70f5,4898.669128412487,2711.181126185824,24.96,5.69,827.0,482.0,0.0
IU-016,R02,114f1fa612e74ac30ea89289127e19ce8dbe8a31,8879.68570226212,2795.1996176656103,45.25,5.86,934.0,364.0,0.0
IU-017,R02,d913b802428182c63530ca550d438503a7fd7239,8055.685783642328,2935.144218088797,41.05,6.16,686.0,377.0,0.0
