image_use_id,symbol_id,sha256,x,y,width,height,region,asset_file,status
IU-001,image-6de41ee9669b8a8fe65431101dfbb2088562035e,b2f0a5db540514eca4348916b2ac1230dc74fcaf9c24902710c875ac091d814a,1116.916104,5270.462552,808.0,433.0,R01,source/images/image-6de41ee9669b8a8fe65431101dfbb2088562035e.png,verified
IU-002,image-464bc9a673f7759d980954755da2876fc9682275,9215174bf71d55a4472b9bbaeb779fb9ca8e650df46b4c41c55a3be1e006b869,1102.749539,4769.795759,883.0,481.0,R01,source/images/image-464bc9a673f7759d980954755da2876fc9682275.png,verified
IU-003,image-9a7a1dec129a20d6a6cb9651791d02ca5927d1e6,490c720326bcdf5b48e2f20567b48e7a10f03b2e0ebcfe70d973b1d76a4977da,1107.684466,4065.542428,624.0,482.0,R01,source/images/image-9a7a1dec129a20d6a6cb9651791d02ca5927d1e6.png,verified
IU-004,image-95700bc1ebd1675fd63780ab977ce3b2f5afe064,ee5431c09a3d088ccf3f2aac0a8354d337fe3d5074b2803b510609ed1f24c232,1005.89919,3574.352689,831.0,296.0,R01,source/images/image-95700bc1ebd1675fd63780ab977ce3b2f5afe064.png,verified
IU-005,image-af63c2b1486eec9b1d82f9c5409fbe8b78ebe2b5,3fd12de211f3b70874dd25115dd743e91f98d64e175f1515225c3a7d65056ef6,994.399037,3095.186048,834.0,481.0,R01,source/images/image-af63c2b1486eec9b1d82f9c5409fbe8b78ebe2b5.png,verified
IU-006,image-8225df5989570f01aab0e54eb613c922d5fbec03,7fce4a179fe803947c6a15d67177e90443b4b9a6478bee6714e5a488cd327635,1011.462442,2591.196439,667.0,482.0,R01,source/images/image-8225df5989570f01aab0e54eb613c922d5fbec03.png,verified
IU-007,image-35e403c351e5dd0bfe13b5349e888a26baec147c,ecddf44a2834cb8bbd994dda0d27d6152aa64e2e81ba978cb906cc4358d437af,928.676798,1977.686073,771.0,226.0,R01,source/images/image-35e403c351e5dd0bfe13b5349e888a26baec147c.png,verified
IU-008,image-63d8ac4d4655c0deaaaad74daa93c773cf5ecf66,68d7bf0994cf4057c98f92988e196c6d36868c73286414006f4a977a0c174467,918.510081,1491.852638,838.0,481.0,R01,source/images/image-63d8ac4d4655c0deaaaad74daa93c773cf5ecf66.png,verified
IU-009,image-9ed3a80019a1f1e2356c1d133b4d62645738b6a9,5e0f3ab619d83847b7eddb929d4ab36cc494c9b4e25d8091af28bf8a29f1bbbf,932.34321,1129.185959,847.0,333.0,R01,source/images/image-9ed3a80019a1f1e2356c1d133b4d62645738b6a9.png,verified
IU-010,image-0bbe55f89f43a371d8d6cbee4495093fb187800f,662dc5bcc928fa988a86cd3da529bba855a2821bed392fec7a8e5f41651b5011,945.910901,417.863029,920.0,679.0,R01,source/images/image-0bbe55f89f43a371d8d6cbee4495093fb187800f.png,verified
IU-011,image-e2a82e89436f435229d24585cb1e9a9d9ee774c6,cb1fe70ee8ef278a3cd79132e61ed8b2d3fc221e4cad1e1ab316ce7a62c7eb43,2508.21188,4892.943905,488.0,251.0,R02,source/images/image-e2a82e89436f435229d24585cb1e9a9d9ee774c6.png,verified
IU-012,image-c9633634fa36555227b1b03d71e9e24e5dca45bb,432a2fad93ace8ab2333a03478050faa9f102318748aa13a11ee010b6012944a,2519.885697,5160.621014,575.0,482.0,R02,source/images/image-c9633634fa36555227b1b03d71e9e24e5dca45bb.png,verified
IU-013,image-ba6b0bfd48890d77affc7fa1dc8d971565ece438,9bb03fe6f34599a00735f84b03c89fe553336ee37b18832103a00ef4159cb728,2528.37875,5649.44386,797.0,310.0,R02,source/images/image-ba6b0bfd48890d77affc7fa1dc8d971565ece438.png,verified
IU-014,image-e1b2d7261177e3c04887fa32e66278f9783c47fb,01445599bf34dde516b9aeaaa753ab06d40fd8005dcb8bb483648e02a3d2d4d0,2635.045407,5995.443936,829.0,398.0,R02,source/images/image-e1b2d7261177e3c04887fa32e66278f9783c47fb.png,verified
IU-015,image-28e66f96cba3589d1c90b028f973957497698af5,d73c64221db87ff003d1ef3d2d826df97851fa9c7233a667667385e7e1747866,1055.915646,6079.296026,820.0,202.0,R02,source/images/image-28e66f96cba3589d1c90b028f973957497698af5.png,verified
IU-016,image-1701378b61ac4d43da49dd5e13e8f4321daae4a9,65f25c8a3a0eb659c3dc8615e8f5353656248ab25febb86d19702612c4a6aa41,1082.514787,6287.344802,684.0,482.0,R02,source/images/image-1701378b61ac4d43da49dd5e13e8f4321daae4a9.png,verified
IU-017,image-78cbce8444ff8ddf70b768a7d93a87792c494d9d,8798cb78bc7364697ecdaec0dd11bfd838b347bc7c90b5cd46a95cea702dffea,1079.082364,6814.295949,847.0,392.0,R02,source/images/image-78cbce8444ff8ddf70b768a7d93a87792c494d9d.png,verified
IU-018,image-455bfe578914fbe7196a2942e1b30687e2b246e1,82d87d8c1ff3526b31df6df06f6583838c9b9cd4757fb65252c91375d203a43d,1074.082211,7209.295949,837.0,482.0,R02,source/images/image-455bfe578914fbe7196a2942e1b30687e2b246e1.png,verified
IU-019,image-8bc51fb2b9a4bccdaab2827de01ecbfec43b390c,fb3311452a13c4e8b04dc3b4f54d6d3f671e291cabd15546b7687c94ab877fb6,1072.249081,7714.962667,804.0,384.0,R02,source/images/image-8bc51fb2b9a4bccdaab2827de01ecbfec43b390c.png,verified
IU-020,image-0a5869c1383bf793991039730fb80087f2f25e19,39bc6ce6529c48dc78152faac8817665a2389e94b85846339db3cc4d0a298b74,1058.082364,8119.462667,849.0,405.0,R02,source/images/image-0a5869c1383bf793991039730fb80087f2f25e19.png,verified
IU-021,image-33718bce30bdffcea809498e2f21dc7305eb9bb8,1b6f1f651f515d3fe9d91b7bf76dbe676e3e35f6a35a9129ad0d41b1154e2475,1090.582364,8535.462667,834.0,423.0,R02,source/images/image-33718bce30bdffcea809498e2f21dc7305eb9bb8.png,verified
IU-022,image-142c1cd335f8d2c5aebd7e221c9da1b608614fb3,c4f84e5ee5b486bdee3fe64ed7bd5a1593810f636450b33712534cd3e655c178,3725.482964,4888.588698,733.0,254.0,R03,source/images/image-142c1cd335f8d2c5aebd7e221c9da1b608614fb3.png,verified
IU-023,image-a8b83a46ce8f8f9f424355f39121d2d1c2c66cea,bd2a0e362047f01d8e3c078f72876532937ef38aa02f32b2bf3780abe13b5c7c,3732.504282,5169.988072,704.0,482.0,R03,source/images/image-a8b83a46ce8f8f9f424355f39121d2d1c2c66cea.png,verified
