label_id,text,x,y,font_size,candidate_region,status,notes
T-001,positional / nonpositional props,486.8628480845191,5803.629308154195,113.3333129882812px,R01,pending-transcript,
T-002,record class,2580.361860872345,4713.019219145051,88.75771859877909px,R02,pending-transcript,
T-003,record struct vs record class,3353.9803568572006,4582.01943175926,52.29630194769967px,R02,pending-transcript,
T-004,large structs copying cost,3353.9803568572006,4582.01943175926,52.29630194769967px,R02,pending-transcript,
T-005,large structs copying inside objects of heap vs /,3353.9803568572006,4582.01943175926,52.29630194769967px,R02,pending-transcript,
T-006,same reference for complex typex that are immutable,3353.9803568572006,4582.01943175926,52.29630194769967px,R02,pending-transcript,
T-007,passing struct into method,4855.585479530699,4502.051629499602,87.46663818359374px,R03,pending-transcript,
T-008,ref in out,4855.585479530699,4502.051629499602,87.46663818359374px,R03,pending-transcript,
T-009,when prefer ref type with,3693.1612740974606,5663.263787702727,87.46663818359374px,R02,pending-transcript,
T-010,value equality?,3693.1612740974606,5663.263787702727,87.46663818359374px,R02,pending-transcript,
T-011,copying cost,3704.0703650065516,6734.77895771338,87.46663818359374px,R02,pending-transcript,
T-012,structs may be bigger than refs,3495.585479530699,7237.809242248181,87.46663818359374px,R02,pending-transcript,
T-013,when structs are good,3503.3127522579716,8563.566854996761,87.46663818359374px,R02,pending-transcript,
T-014,copying structs with additional changes with,2304.1079620225723,6671.586078194182,44.296278211805564px,R02,pending-transcript,
T-015,WITH,2304.1079620225723,6671.586078194182,44.296278211805564px,R02,pending-transcript,
T-016,are structs stack only,5048.672782019064,6995.462948529792,103.55550130208336px,R03,pending-transcript,
T-017,when using for value objects as complex types,6332.005911901876,4646.574042686693,100.88887532552071px,R03,pending-transcript,
T-018,!= ==,317.11328828828846,925.4284750317784,91.46669921875002px,R01,pending-transcript,
T-019,what is built in in records,630.8690858955947,10.0,180.00000000000006px,R01,pending-transcript,
T-020,can records have methods,948.8876524510424,2376.42590077718,48.266674804687504px,R01,pending-transcript,
T-021,and private props,948.8876524510424,2376.42590077718,48.266674804687504px,R01,pending-transcript,
T-022,record vs class decision,839.1165823371739,3895.9726113123934,116.60445811669439px,R01,pending-transcript,
