image_id,filename,sha256,sha256_12,mime_type,byte_size,pixel_width,pixel_height,mode,use_count,status
image-24915dd245ee645b21771af6ea42d1b7587375b9,72015c134e53.png,72015c134e53f5966f25d7e9f20a1a0aeb8cb9a6b0b4139520c7b35660d19b4f,72015c134e53,image/png,29913,931,337,RGBA,1,extracted
image-d4e1d6ac1f58498526e91292fca5966828b2bd39,d8b152ec2051.png,d8b152ec2051faa82aded17378a229c345a7fe1116ce234799adb8698826b4bd,d8b152ec2051,image/png,35465,1084,409,RGBA,1,extracted
image-e3f8f495c8bd59edd2b075deefe431db15347b68,f14212e19f32.png,f14212e19f32f0c3e66bd1d4736b51dc26aba097c5fb5e3b871a50c2428aabad,f14212e19f32,image/png,35781,965,400,RGBA,1,extracted
image-c96b0a4b649a112a84d32475e470eba663d7ad74,c8e1bcdac354.png,c8e1bcdac354d2e6cd6416f03b3063d5a5b95fa5647dcc66e7bf31ce7443ac9a,c8e1bcdac354,image/png,20697,874,277,RGBA,1,extracted
image-df49d86f8dc70e01fb48bdb6167a2136b9c977bb,730816484434.png,730816484434ee700307688c4c65522212053d4b4237b7df72a4a8b6e80a4651,730816484434,image/png,24699,698,528,RGBA,1,extracted
image-ed12f0e9e5c70993d7bfea24416604d5bcbb12fc,0f1bc7f35f07.png,0f1bc7f35f079a71d021992f8328fa97d023345dd7285568e03a813e530add14,0f1bc7f35f07,image/png,20174,957,272,RGBA,1,extracted
image-6246976ef9ae0b45242e6c4dd730a83bd7c4e73e,4eef1c3c8a13.png,4eef1c3c8a13585eb243b6f284e3997f5b773155ffd830882448c3f5fe572d60,4eef1c3c8a13,image/png,20390,937,167,RGBA,1,extracted
image-01ae25ac82e31f800a1f4a16362f4bf055e0d0aa,cec4eaddd5d9.png,cec4eaddd5d95d52646cb25d3d15311ea42e502a7fbbc5e03ac3397902b3cde8,cec4eaddd5d9,image/png,60468,963,525,RGBA,1,extracted
image-6e1e8b3341608ed63f9a4b728e5d2815fdb7b752,8eb949f988e7.png,8eb949f988e7a7bb6424fa90812d33f86e0a6df6c197153c9ba650840f2ce67b,8eb949f988e7,image/png,36714,897,478,RGBA,1,extracted
image-a2d61749bb96a39d568b1157c283996ecd69f98e,6fce57c6066e.png,6fce57c6066ee2b734cf8c2ebf6b532a00e28ecd60e365377c02e380f06bdb07,6fce57c6066e,image/png,31323,956,287,RGBA,1,extracted
