use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-c75a67179496302dafeec216354eed17e5ff22e4,6db593fd4f8b.png,6db593fd4f8b,R05,4655.512344615109,11453.897462524776,949.0,434.0,1.0,,T-015|T-016|T-014,immer and|immutability|middleware examples,pending_transcript
IU-002,image-059e2229c9787c685f67efbf6d9ce44d0972aaaa,5506003d0be4.png,5506003d0be4,R05,4679.993638206436,13450.852357544292,700.0,482.0,1.0,,T-016|T-015|T-019,immutability|immer and|!!!,pending_transcript
IU-003,image-a0d40d76b538767801d63f8dec9c274fee0b8f86,6c75a1b200b6.png,6c75a1b200b6,R02,4847.703474275878,3675.413202290907,898.0,462.0,1.0,,T-011|T-001|T-003,getstate|full usage of classic redux + map functions + connect|store provider,pending_transcript
IU-004,image-ef456277635c6882f914feef3a1bd485ce425699,23d0ec3b0c74.png,23d0ec3b0c74,R02,4892.716687533397,4152.664382303923,805.0,482.0,1.0,,T-011|T-001|T-004,getstate|full usage of classic redux + map functions + connect|the state that useselector can access,pending_transcript
IU-005,image-abfbaadb1d3b7f4b2151590ecc6576cb610a8e81,b89e141d8b70.png,b89e141d8b70,R02,4851.333058694281,4641.672438944548,1030.0,248.0,1.0,,T-011|T-004|T-005,getstate|the state that useselector can access|init state,pending_transcript
IU-006,image-819b302ebe6508634eaeaf39557d3402d7dfa1a5,9092571a814b.png,9092571a814b,R02,4824.1108364720585,4895.468825663298,960.0,333.0,1.0,,T-011|T-004|T-005,getstate|the state that useselector can access|init state,pending_transcript
IU-007,image-d1d2a25d497ba337a85348c49e684d04a024be0b,36716bb0a5e7.png,36716bb0a5e7,R02,4830.796112079698,5253.468690029604,997.0,337.0,1.0,,T-011|T-004|T-005,getstate|the state that useselector can access|init state,pending_transcript
IU-008,image-34ebfe5092bb9b85af8d43832540d336ae5b2d59,e62a0874f3a0.png,e62a0874f3a0,R02,4825.9256964981005,5612.653965637244,986.0,469.0,1.0,,T-004|T-011|T-005,the state that useselector can access|getstate|init state,pending_transcript
IU-009,image-a2a7cd3ec3f7328bfe75a71949cdf7afc5ec39f7,6205563b3f5a.png,6205563b3f5a,R02,4784.851667635253,6173.9872989705655,840.0,253.0,1.0,,T-004|T-005|T-006,the state that useselector can access|init state|action creators / thunk functions,pending_transcript
IU-010,image-30a70d7dd5a092613dbc916101e0d5d1e5ebe663,156dddd931b0.png,156dddd931b0,R02,4788.1681801181,6475.627300055636,961.0,482.0,1.0,,T-004|T-005|T-006,the state that useselector can access|init state|action creators / thunk functions,pending_transcript
IU-011,image-e91c8012491e02bce069f00f42c05c0a7b941449,a985c59b8a0b.png,a985c59b8a0b,R04,4799.491282164333,6982.2940345391435,920.0,482.0,1.0,,T-006|T-007|T-008,action creators / thunk functions|(+ thunk action creators) difference|and explaination,pending_transcript
IU-012,image-82eb65d3397ffc445e8ec6916e519ac42395c32d,649d6fc08dce.png,649d6fc08dce,R04,4794.185000968587,7482.394661166731,768.0,451.0,1.0,,T-006|T-007|T-008,action creators / thunk functions|(+ thunk action creators) difference|and explaination,pending_transcript
IU-013,image-f9cfcdaaa8361de81c6e48586dce624dbb9c688d,5486ac475934.png,5486ac475934,R04,4804.323239680406,7943.775493414982,774.0,482.0,1.0,,T-006|T-007|T-008,action creators / thunk functions|(+ thunk action creators) difference|and explaination,pending_transcript
IU-014,image-dc5629e885fc7f71f2f8ad3532a45edb131d005f,42a1028fb845.png,42a1028fb845,R04,4762.759029831434,8458.894796800396,819.0,338.0,1.0,,T-006|T-007|T-008,action creators / thunk functions|(+ thunk action creators) difference|and explaination,pending_transcript
IU-015,image-dd9e56b00d2d123efd6385ba7d7288fd59ae38f7,a9c138b4ff20.png,a9c138b4ff20,R04,4762.9256964981005,8825.26507674831,792.0,346.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-016,image-18fc5f02a79b8c81cd9033ddda8271df0e9464ba,8f809715b4d1.png,8f809715b4d1,R04,4749.296112079698,9185.376120042576,840.0,408.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-017,image-005f2c2d9f6bca455a76217322d53adf649e2e2d,f12df8d2eb6d.png,f12df8d2eb6d,R04,4740.759410348938,9613.405077833366,899.0,482.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-018,image-b9e2724587989c90150e3fbe4b9f7deb89f9766c,dfd07dfe4a0d.png,dfd07dfe4a0d,R04,4738.12944541303,10117.41320229082,729.0,218.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-019,image-6f41dcbcc56dc914410df9651da62b78dda789f7,2fdade852dfd.png,2fdade852dfd,R04,4721.3144497533085,10361.09841008161,973.0,421.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-020,image-590eacb1fe62553128f396d5bbd5eb06ab87a457,a42a98910289.png,a42a98910289,R04,4697.58186889132,10812.418951593874,813.0,463.0,1.0,,T-008|T-007|T-006,and explaination|(+ thunk action creators) difference|action creators / thunk functions,pending_transcript
IU-021,image-8af73de8f232cb0688fc3793ee4f605c7c74983d,97a21d87a540.png,97a21d87a540,R05,4648.356165683728,11229.56889092867,1020.0,231.0,1.0,,T-015|T-016|T-008,immer and|immutability|and explaination,pending_transcript
IU-022,image-b428dc2feaf06a6dbb49168544ebe083b22c1342,3af06f9649b4.png,3af06f9649b4,R01,4905.730297840252,212.89537573211783,732.0,482.0,1.0,,T-002|T-001|T-011,"map funcs, connect|full usage of classic redux + map functions + connect|getstate",pending_transcript
IU-023,image-466164983e651392771e31b691b831d0660229d1,1472d5de2cb0.png,1472d5de2cb0,R01,4890.001957893162,737.0517129252003,901.0,394.0,1.0,,T-002|T-001|T-011,"map funcs, connect|full usage of classic redux + map functions + connect|getstate",pending_transcript
IU-024,image-f5132869b22a4c1c847401c948a22cfc9a0a3e0e,cfe98d5ee6b9.png,cfe98d5ee6b9,R01,4841.954280716823,1200.0040357488615,799.0,310.0,1.0,,T-002|T-001|T-011,"map funcs, connect|full usage of classic redux + map functions + connect|getstate",pending_transcript
IU-025,image-f4c0d3ae950a107dc5a8d7bf4173a8aa11aac311,af02bf90b38a.png,af02bf90b38a,R01,4819.978206498074,1552.5992157153778,782.0,321.0,1.0,,T-002|T-001|T-011,"map funcs, connect|full usage of classic redux + map functions + connect|getstate",pending_transcript
IU-026,image-fc652b11d41ba24ca94e8b1330d9b186c171c04b,bf2a9e55488c.png,bf2a9e55488c,R01,4826.535854865572,1908.1335000345753,872.0,482.0,1.0,,T-002|T-001|T-011,"map funcs, connect|full usage of classic redux + map functions + connect|getstate",pending_transcript
IU-027,image-16a5c30e3de3702977c828103e7521a6bdc0916c,81c75fbd1e2d.png,81c75fbd1e2d,R01,4826.37784681869,2407.1810900178352,834.0,482.0,1.0,,T-002|T-001|T-011,"map funcs, connect|full usage of classic redux + map functions + connect|getstate",pending_transcript
IU-028,image-d93ab079b0a27fc51abadd5f1f4b0d69b2d21290,45d3707e2478.png,45d3707e2478,R02,4776.692317826198,2960.2659114464077,1040.0,439.0,1.0,,T-011|T-001|T-002,"getstate|full usage of classic redux + map functions + connect|map funcs, connect",pending_transcript
IU-029,image-d54c0d552e6c680562880874ec7e4cf16f4e12d6,f370d759990f.png,f370d759990f,R01,3028.1801785370635,2947.2342253453244,1013.0,470.0,1.0,,T-001|T-002|T-003,"full usage of classic redux + map functions + connect|map funcs, connect|store provider",pending_transcript
IU-030,image-b30bf7864601407788447e22789bd74561dcadca,abe3b01fa335.png,abe3b01fa335,R01,3009.620823080121,2761.834931284644,1029.0,165.0,1.0,,T-001|T-002|T-003,"full usage of classic redux + map functions + connect|map funcs, connect|store provider",pending_transcript
