text_id,text,x,y,region_id,status,transcript_file,authoritative_transcript
T-001,full usage of classic redux + map functions + connect,2423.6157594094047,3565.2705811841483,R01,closed,01-transcript-R01-classic-redux-flow-principles-and-connect.md,07-full-combined-final-transcript.md
T-002,"map funcs, connect",2872.9173346125617,1440.7519506467747,R01,closed,01-transcript-R01-classic-redux-flow-principles-and-connect.md,07-full-combined-final-transcript.md
T-003,store provider,2636.112927560668,6011.037344398341,R02,closed,02-transcript-R02-store-provider-selectors-preloaded-state-and-getstate.md,07-full-combined-final-transcript.md
T-004,the state that useselector can access,3477.7913173214056,6919.737747862541,R02,closed,02-transcript-R02-store-provider-selectors-preloaded-state-and-getstate.md,07-full-combined-final-transcript.md
T-005,init state,3477.7913173214056,6983.360353606903,R02,closed,02-transcript-R02-store-provider-selectors-preloaded-state-and-getstate.md,07-full-combined-final-transcript.md
T-006,action creators / thunk functions,5829.739140866169,8625.180154648944,R04,closed,04-transcript-R04-action-creators-thunk-action-creators-and-async-flow.md,07-full-combined-final-transcript.md
T-007,(+ thunk action creators) difference,5829.739140866169,8727.222936088385,R04,closed,04-transcript-R04-action-creators-thunk-action-creators-and-async-flow.md,07-full-combined-final-transcript.md
T-008,and explaination,5829.739140866169,8829.265717527825,R04,closed,04-transcript-R04-action-creators-thunk-action-creators-and-async-flow.md,07-full-combined-final-transcript.md
T-009,async flow example,7477.939596715785,8491.491033301809,R04,closed,04-transcript-R04-action-creators-thunk-action-creators-and-async-flow.md,07-full-combined-final-transcript.md
T-010,examples,8905.987429280241,8638.829022642707,R04,closed,04-transcript-R04-action-creators-thunk-action-creators-and-async-flow.md,07-full-combined-final-transcript.md
T-011,getstate,7238.65723019328,4896.372719059643,R02,closed,02-transcript-R02-store-provider-selectors-preloaded-state-and-getstate.md,07-full-combined-final-transcript.md
T-012,"middleware, custom middleware",2534.5124126821656,9561.486023350728,R03,closed,03-transcript-R03-middleware-custom-middleware-and-thunk.md,07-full-combined-final-transcript.md
T-013,thunk middleware,10.0,11899.938539070168,R03,closed,03-transcript-R03-middleware-custom-middleware-and-thunk.md,07-full-combined-final-transcript.md
T-014,middleware examples,2614.565246582032,12940.4203375515,R03,closed,03-transcript-R03-middleware-custom-middleware-and-thunk.md,07-full-combined-final-transcript.md
T-015,immer and,6344.214651663547,13428.705427108092,R05,closed,05-transcript-R05-immer-draft-state-and-immutability.md,07-full-combined-final-transcript.md
T-016,immutability,6344.214651663547,13600.37209377476,R05,closed,05-transcript-R05-immer-draft-state-and-immutability.md,07-full-combined-final-transcript.md
T-017,"can read from draft, need to pass state",7532.059415103649,13514.28902181182,R05,closed,05-transcript-R05-immer-draft-state-and-immutability.md,07-full-combined-final-transcript.md
T-018,examples,6537.51696219523,16049.972259671262,R06,closed,06-transcript-R06-immutable-update-examples-and-redux-toolkit-integration.md,07-full-combined-final-transcript.md
T-019,!!!,6038.913725699874,15680.832443477604,R06,closed,06-transcript-R06-immutable-update-examples-and-redux-toolkit-integration.md,07-full-combined-final-transcript.md
