image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,reusing Regex instances and avoiding construction in hot loops,processed,2a5923445758,image-eb562e923e6fd70c1671396e333dcf8b98482ab3,295.1111924913191,10.0,1034.0,343.0,1034,343,source/images/2a5923445758.png
S-002,R01,reusing Regex instances and avoiding construction in hot loops,processed,4598582017e9,image-d47dc8eebb4d3b841c16fa73fac2df34a8c11fa8,308.43638695315485,445.6771240234375,810.0,482.0,964,574,source/images/4598582017e9.png
S-003,R01,reusing Regex instances and avoiding construction in hot loops,processed,ac316ee38560,image-db46263960863432c13a11217d4af0688c90a67a,238.61107042100662,1020.8333129882812,1043.0,364.0,1043,364,source/images/ac316ee38560.png
S-004,R02,RegexOptions.Compiled and culture-invariant ignore-case matching,processed,23a42952d03f,image-0a9694d755a619df04062c7c7b23c45fa00f9459,257.57387195933984,1486.8253512912343,924.0,482.0,1011,528,source/images/23a42952d03f.png
S-005,R02,RegexOptions.Compiled and culture-invariant ignore-case matching,processed,d6e293d2a4e4,image-4737ddcc22ad3b360575794d4e4825f59ddd3f90,199.83328247070335,2064.3148837619374,889.0,294.0,889,294,source/images/d6e293d2a4e4.png
S-006,R02,RegexOptions.Compiled and culture-invariant ignore-case matching,processed,af866c0b2ac3,image-c79e75ba545824c90a77e309418a9174de29543a,194.89527120291655,2440.1586337619374,926.0,482.0,1042,543,source/images/af866c0b2ac3.png
S-007,R03,match timeouts and catastrophic backtracking protection,processed,8868c5488938,image-d8220f8907dcfcbde9e6f12fc174d132647c0e68,148.74201262943348,3043.4921451144764,1041.0,482.0,1088,504,source/images/8868c5488938.png
S-008,R03,match timeouts and catastrophic backtracking protection,processed,d5f801aebd29,image-4162585be627c27c83a67011fc698fbc96cfe4c1,145.33328247070335,3725.4816775851796,758.0,235.0,758,235,source/images/d5f801aebd29.png
S-009,R03,match timeouts and catastrophic backtracking protection,processed,5ce02399f994,image-47b2ce1808f4113fd339fe9be2292dee90946ba8,10.316623727899241,3996.825274997289,1073.0,842.0,847,665,source/images/5ce02399f994.png
S-010,R03,match timeouts and catastrophic backtracking protection,processed,0a6260fe7f91,image-8d54989a6bd67b25aa3c565de947039d67636326,10.0,4921.995114804748,872.0,492.0,592,334,source/images/0a6260fe7f91.png
S-011,R04,safe reusable regex template and decision checklist,processed,925a9143fa8e,image-a2f1de30e2a15fb6563e11e6faa4d8035a95d4bb,50.81274534573163,5942.7778441413975,678.0,482.0,692,492,source/images/925a9143fa8e.png
