source_id,region_file,placement_status,duplicate_of,near_literal_transcript,recall_questions,status
S-001,R01-ownership-di-scopes-and-deterministic-disposal.md,unique-source,,yes,yes,complete
S-002,R01-ownership-di-scopes-and-deterministic-disposal.md,unique-source,,yes,yes,complete
S-003,R01-ownership-di-scopes-and-deterministic-disposal.md,unique-source,,yes,yes,complete
S-004,R01-ownership-di-scopes-and-deterministic-disposal.md,unique-source,,yes,yes,complete
S-005,R01-ownership-di-scopes-and-deterministic-disposal.md,unique-source,,yes,yes,complete
S-006,R02-canonical-dispose-pattern.md,unique-source,,yes,yes,complete
S-007,R02-canonical-dispose-pattern.md,unique-source,,yes,yes,complete
S-008,R03-finalizer-mechanics-mistakes-and-costs.md,unique-source,,yes,yes,complete
S-009,R03-finalizer-mechanics-mistakes-and-costs.md,unique-source,,yes,yes,complete
S-010,R03-finalizer-mechanics-mistakes-and-costs.md,unique-source,,yes,yes,complete
S-011,R03-finalizer-mechanics-mistakes-and-costs.md,unique-source,,yes,yes,complete
S-012,R03-finalizer-mechanics-mistakes-and-costs.md,unique-source,,yes,yes,complete
S-013,R03-finalizer-mechanics-mistakes-and-costs.md,unique-source,,yes,yes,complete
S-014,R04-unmanaged-ownership-safehandle-and-finalizer-decision.md,unique-source,,yes,yes,complete
S-015,R04-unmanaged-ownership-safehandle-and-finalizer-decision.md,unique-source,,yes,yes,complete
S-016,R04-unmanaged-ownership-safehandle-and-finalizer-decision.md,unique-source,,yes,yes,complete
S-017,R04-unmanaged-ownership-safehandle-and-finalizer-decision.md,duplicate-placement,S-001,reference-S-001,yes,complete
S-018,R04-unmanaged-ownership-safehandle-and-finalizer-decision.md,unique-source,,yes,yes,complete
S-019,R05-dispose-lifecycle-shared-cleanup-and-gc-roots.md,unique-source,,yes,yes,complete
S-020,R05-dispose-lifecycle-shared-cleanup-and-gc-roots.md,unique-source,,yes,yes,complete
S-021,R05-dispose-lifecycle-shared-cleanup-and-gc-roots.md,unique-source,,yes,yes,complete
S-022,R05-dispose-lifecycle-shared-cleanup-and-gc-roots.md,unique-source,,yes,yes,complete
