source_id,image_use_id,dom_group_index,symbol_id,fileId_short,x,y,width,height,rotation,center_x,center_y,opacity,nearest_labels_for_search_only,file_name
S-001,IU-001,1,image-8904608c4a61ad5d43578d8d433ea592da726224,2cb5ff4461,0.0,0.0,943.0,125.0,0.0,471.5,62.5,1,T-001:what limited resources the | T-020:about microservices | T-016:shit it can process in s across all requests | T-013:addding another machine | T-017:cpus can process one work at a time,S-001__2cb5ff4461.png
S-002,IU-002,2,image-273529a2fe62340856c5d65c7eed64856f32b0a3,25c3f51a4b,0.0,0.0,927.0,141.0,0.0,463.5,70.5,1,T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-018:but they do work across all threads/requests | T-016:shit it can process in s across all requests,S-002__25c3f51a4b.png
S-003,IU-003,3,image-b1b820b854ce564c1a078e64128640ca820ac0c7,c56da405da,0.0,0.0,915.0,118.0,0.0,457.5,59.0,1,T-001:what limited resources the | T-016:shit it can process in s across all requests | T-017:cpus can process one work at a time | T-020:about microservices | T-013:addding another machine,S-003__c56da405da.png
S-004,IU-004,4,image-1f991e4882d0fae1b3a943485553b011c7814ab5,f4e978b340,0.0,0.0,912.0,130.0,0.0,456.0,65.0,1,T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-016:shit it can process in s across all requests | T-017:cpus can process one work at a time,S-004__f4e978b340.png
S-005,IU-005,5,image-45ef1158e48201c0da6b686945d56561e47965c7,227a7180b0,0.0,0.0,949.0,118.0,0.0,474.5,59.0,1,T-001:what limited resources the | T-016:shit it can process in s across all requests | T-017:cpus can process one work at a time | T-020:about microservices | T-013:addding another machine,S-005__227a7180b0.png
S-006,IU-006,6,image-e3a61c1c40c33463c5e3001499f058fdd356f8ac,67fddeee65,0.0,0.0,954.0,134.0,0.0,477.0,67.0,1,T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-016:shit it can process in s across all requests | T-018:but they do work across all threads/requests,S-006__67fddeee65.png
S-007,IU-007,7,image-7efe2bfe0e63caca9670084ff9d59526d67784f7,35b77ba422,0.0,0.0,991.0,136.0,0.0,495.5,68.0,1,T-001:what limited resources the | T-020:about microservices | T-013:addding another machine | T-016:shit it can process in s across all requests | T-018:but they do work across all threads/requests,S-007__35b77ba422.png
S-008,IU-008,8,image-b0399e4b997881f3e572b8448bb74fc1f956e276,54527f233d,0.0,0.0,541.0,225.0,0.0,270.5,112.5,1,"T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap",S-008__54527f233d.png
S-009,IU-009,9,image-e2d8c544f222281c2a061681f22f7e3b349957f8,99de296dc1,0.0,0.0,897.0,81.0,0.0,448.5,40.5,1,T-017:cpus can process one work at a time | T-016:shit it can process in s across all requests | T-015:so server really has some limit of how much | T-001:what limited resources the | T-020:about microservices,S-009__99de296dc1.png
S-010,IU-010,10,image-1430348bcc5154905a25f687d9d62b48864e8e96,e610835c92,0.0,0.0,862.0,482.0,0.0,431.0,241.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-010__e610835c92.png
S-011,IU-011,11,image-7b27b38f1d8672476fef605f4d5f142c65a7daaf,f4c866c1e2,0.0,0.0,964.0,289.0,0.0,482.0,144.5,1,"T-019:a little bit here a little bit there | T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets",S-011__f4c866c1e2.png
S-012,IU-012,12,image-95c1d634f4550550ac9af9b193b956331f4904a2,a01342a1c2,0.0,0.0,919.0,273.0,0.0,459.5,136.5,1,"T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap",S-012__a01342a1c2.png
S-013,IU-013,13,image-92ab6c8e17499962b1ae7bf11b629d5829aab260,a189bedf87,0.0,0.0,782.0,482.0,0.0,391.0,241.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-013__a189bedf87.png
S-014,IU-014,14,image-f0a0d0fa3dd0b3eeef6926aa9e8493d6b410a0c7,c0160f4fdc,0.0,0.0,920.0,348.0,0.0,460.0,174.0,1,T-002:server does have to server requests | T-019:a little bit here a little bit there | T-014:is it microservices | T-003:cpu | T-004:memory,S-014__c0160f4fdc.png
S-015,IU-015,15,image-8ca792bdbff3fa6348d02d270dee284d55ab40ec,12839caf02,0.0,0.0,837.0,404.0,0.0,418.5,202.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-015__12839caf02.png
S-016,IU-016,16,image-e04a050aa109a05095bf9c8f6791c34d22e0de25,17cc77d938,0.0,0.0,942.0,308.0,0.0,471.0,154.0,1,"T-019:a little bit here a little bit there | T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets",S-016__17cc77d938.png
S-017,IU-017,17,image-38aa2b611e4c400a640f1b167c7e8b1b21027530,3015663796,0.0,0.0,823.0,378.0,0.0,411.5,189.0,1,T-002:server does have to server requests | T-014:is it microservices | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-017__3015663796.png
S-018,IU-018,18,image-7a11fac92c322dca131a59265cb8882b3ac2b85d,f8338d12a5,0.0,0.0,787.0,238.0,0.0,393.5,119.0,1,"T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap",S-018__f8338d12a5.png
S-019,IU-019,19,image-14048e1adae5f2eb0b4675bb56b401ab05b5c4a8,04a09c097e,0.0,0.0,1007.0,398.0,0.0,503.5,199.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-019__04a09c097e.png
S-020,IU-020,20,image-4e1731146759ec69ec8b266c2f38eb4dde5826d8,c82ad6e67d,0.0,0.0,775.0,475.0,0.0,387.5,237.5,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-020__c82ad6e67d.png
S-021,IU-021,21,image-f9ba8fa3df396a31ae0a6685c533f94246fdb1ca,6ab22efcc2,0.0,0.0,898.0,482.0,0.0,449.0,241.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-021__6ab22efcc2.png
S-022,IU-022,22,image-442ef5ac13ce57c01a4cea48e338ac5dca2078d0,8c75176445,0.0,0.0,943.0,430.0,0.0,471.5,215.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-022__8c75176445.png
S-023,IU-023,23,image-d91ea3dbe469bf5f9bea33bd321cb563a61d2d1f,c596c80579,0.0,0.0,955.0,460.0,0.0,477.5,230.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-023__c596c80579.png
S-024,IU-024,24,image-d2ea45cd7e68a5b88e19d4557e79967ed44ea5e2,aa23a4140f,0.0,0.0,843.0,292.0,0.0,421.5,146.0,1,"T-019:a little bit here a little bit there | T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets",S-024__aa23a4140f.png
S-025,IU-025,25,image-c13c85611c7bfc20b1d298fdbbf5af38b2cef02b,b0676b4edc,0.0,0.0,798.0,482.0,0.0,399.0,241.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-025__b0676b4edc.png
S-026,IU-026,26,image-b8b6cc534e5a208ff5acc85d363dc08ee91eabe9,4cbe3f8eb7,0.0,0.0,852.0,482.0,0.0,426.0,241.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-026__4cbe3f8eb7.png
S-027,IU-027,27,image-8ab0c1b07e4fb5d5861d34bcb1ff3f9ed1f3fef2,93e00ecca6,0.0,0.0,935.0,392.0,0.0,467.5,196.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-027__93e00ecca6.png
S-028,IU-028,28,image-52b77eba7a57cf2e7b0e1e85a9eb7033f58c955d,4bbd0d2682,0.0,0.0,908.0,393.0,0.0,454.0,196.5,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-028__4bbd0d2682.png
S-029,IU-029,29,image-247e4ca7539cc21b9ec482c14047b8f0eb72b205,098f4323cd,0.0,0.0,938.0,230.0,0.0,469.0,115.0,1,"T-003:cpu | T-004:memory | T-005:netwrk bandwidth | T-006:open cons,sockets | T-007:threads/wrkr cap",S-029__098f4323cd.png
S-030,IU-030,30,image-bdd5b16e618553ad0688b10e9609816db190e375,753288333c,0.0,0.0,945.0,426.0,0.0,472.5,213.0,1,T-014:is it microservices | T-002:server does have to server requests | T-019:a little bit here a little bit there | T-003:cpu | T-004:memory,S-030__753288333c.png
