text_id,dom_group_index,x,y,group_x,group_y,rotation,font_size,fill,text
T-001,1,0.0,74.72686076472365,0.0,0.0,0.0,84.82050030048087px,#d3d3d3,what limited resources the
T-002,2,0.0,180.75248614032475,0.0,0.0,0.0,84.82050030048087px,#d3d3d3,server does have to server requests
T-003,3,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,cpu
T-004,4,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,memory
T-005,5,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,netwrk bandwidth
T-006,6,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,"open cons,sockets"
T-007,7,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,threads/wrkr cap
T-008,8,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,disk i/o
T-009,9,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,database/dwn str con pools
T-010,10,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,kernel/os limits
T-011,11,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,tsl/crypto cap
T-012,12,0.0,130.3879999999997,0.0,0.0,0.0,147.99999999999963px,#d3d3d3,app specific pools/queues
T-013,13,0.0,84.96755555555548,0.0,0.0,0.0,96.44444444444436px,#d3d3d3,addding another machine
T-014,14,0.0,205.52311111111092,0.0,0.0,0.0,96.44444444444436px,#d3d3d3,is it microservices
T-015,15,0.0,17.619999999999997,0.0,0.0,0.0,20px,#d3d3d3,so server really has some limit of how much
T-016,16,0.0,42.62,0.0,0.0,0.0,20px,#d3d3d3,shit it can process in s across all requests
T-017,17,0.0,38.76399999999999,0.0,0.0,0.0,43.999999999999986px,#d3d3d3,cpus can process one work at a time
T-018,18,0.0,93.76399999999998,0.0,0.0,0.0,43.999999999999986px,#d3d3d3,but they do work across all threads/requests
T-019,19,0.0,148.76399999999995,0.0,0.0,0.0,43.999999999999986px,#d3d3d3,a little bit here a little bit there
T-020,20,0.0,81.65571961658527,0.0,0.0,0.0,92.68526630713424px,#d3d3d3,about microservices
