image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,6fe54640597d,image-f15f945496e996fc43370b3bb3313ce176fed95c,1193.600915695427,413.12969316755016,789.0,482.0,951,581,source/images/6fe54640597d.png
S-002,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,bb221cba22f0,image-30d05d3465858111be61f707310a421609b297b5,2334.833282470703,432.28586687360485,937.0,244.0,937,244,source/images/bb221cba22f0.png
S-003,R02,"Dictionary/HashSet capacity preallocation, resizing, EnsureCapacity, TrimExcess and comparer-aware construction",processed,2c05f365b4ff,image-6cf243c87f1cf9ec970faa1f991ebefa1511d057,4190.373980741759,438.6350760251207,957.0,295.0,957,295,source/images/2c05f365b4ff.png
S-004,R03,"Dictionary API sheet: lookup, insertion, removal, state, enumeration and interface behavior",processed,6e0343cfc254,image-b08395e593deef7a7df8e47fbde02e1ae723739d,6090.781642392106,446.5595564928449,835.0,232.0,835,232,source/images/6e0343cfc254.png
S-005,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,8020328be367,image-b9634b10637d40db610768cd574176155afaad6f,10.0,449.9525844029017,910.0,167.0,910,167,source/images/8020328be367.png
S-006,R04,"ConditionalWeakTable semantics, weak-key lifetime, caching and comparison with JavaScript WeakMap",processed,1ccb205d7e79,image-21e4769317d37fa093aa86556d8b89a45dfcb2f7,9439.346499982825,532.1291921395041,1075.0,419.0,1075,419,source/images/1ccb205d7e79.png
S-007,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,ab2991d7ed45,image-b7baeb5288b87d2875e3dda4ec4da11ce50c4789,51.51839701334666,658.804458860363,919.0,258.0,919,258,source/images/ab2991d7ed45.png
S-008,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,8f85bfce0086,image-8cc89834202ff1cae97c2c589c523d796b4bb871,2333.9444783528643,691.2302689325265,921.0,275.0,921,275,source/images/8f85bfce0086.png
S-009,R03,"Dictionary API sheet: lookup, insertion, removal, state, enumeration and interface behavior",processed,5141e1be6810,image-3e95d6d5ca4797042b255a8c5f284d8e706fcfe1,6041.92791488256,819.8816785862975,891.0,397.0,891,397,source/images/5141e1be6810.png
S-010,R02,"Dictionary/HashSet capacity preallocation, resizing, EnsureCapacity, TrimExcess and comparer-aware construction",processed,01884ef7c875,image-e9ead8403afdaf24b85326d8e3976639517daf21,4317.74577299321,830.534347672261,667.0,482.0,781,565,source/images/01884ef7c875.png
S-011,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,b83a34e7e3b7,image-ef9424b953db26453dfd6a774e1172c7e78a50f3,2336.6110941569004,982.7858414422922,949.0,263.0,949,263,source/images/b83a34e7e3b7.png
S-012,R04,"ConditionalWeakTable semantics, weak-key lifetime, caching and comparison with JavaScript WeakMap",processed,c6e98558464d,image-241fe6510e4deb3451f8fcfbaa782972a945ed69,9527.340092934806,996.7088630075336,772.0,356.0,772,356,source/images/c6e98558464d.png
S-013,R01,"dictionary equality, key-set union/intersection/difference and building dictionaries from selected keys",processed,70320c4437e5,image-18b3c55187499357c1251d4e2cd89bb022b816c1,1118.5,1010.7859431675502,983.0,297.0,983,297,source/images/70320c4437e5.png
