label_id,text,x,y,font_size,fill
L-001,so you can,1585.074,733.458,20px,#d3d3d3
L-002,have some object graph,1585.074,758.458,20px,#d3d3d3
L-003,creating cost,1585.074,783.458,20px,#d3d3d3
L-004,while not fetching shit,1585.074,808.458,20px,#d3d3d3
L-005,HOW TO  ENABLE MARS,68.144,199.323,77.33331298828122px,#d3d3d3
L-006,WHAT MARS ALLOWS,17.732,1155.677,105.33333333333327px,#d3d3d3
L-007,BUILDING OBJECT GRAPHS,144.954,4396.823,55.555562337239635px,#d3d3d3
L-008,ONE BY ONE WITH MULTIPLE,144.954,4466.267,55.555562337239635px,#d3d3d3
L-009,ACTIVE RESULT SETS,144.954,4535.712,55.555562337239635px,#d3d3d3
L-010,SAVEPOINTS,4290.021,317.803,256.19042968749994px,#d3d3d3
L-011,YIELD POINTS,3612.51,597.214,74.85714285714275px,#d3d3d3
L-012,WHEN MARS CAN BE,1955.617,81.655,81.33337402343749px,#d3d3d3
L-013,LESS ATTRACTIVE,1955.617,183.321,81.33337402343749px,#d3d3d3
