source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,p01_boundary_decision,p01_boundary_note
S-034,34,0fd77692fa1f5d3d6a8f9f63a1e8ad59bf655fb0,0fd77692fa,2345.909,589.039,530.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-066: primary file options | L-064: create database | L-065: on primary | L-068: log on | L-067: log files options,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-035,35,5ed57f2324a52612ff441849f0c44d162294bac1,5ed57f2324,2331.771,899.852,478.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-066: primary file options | L-064: create database | L-065: on primary | L-154: default max limit for | L-067: log files options,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-036,36,d7dde200c63676980161ddd17c3898012c72da6f,d7dde200c6,3042.356,562.68,686.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-065: on primary | L-066: primary file options | L-068: log on | L-067: log files options | L-154: default max limit for,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-037,37,de8cc55396f5cb297e51b71f077a05b8418d4baa,de8cc55396,3032.146,978.736,504.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-066: primary file options | L-067: log files options | L-065: on primary | L-154: default max limit for | L-068: log on,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-038,38,304951d816963ec034417a3282b26577b572dd12,304951d816,3016.712,1301.331,637.0,196.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-154: default max limit for | L-066: primary file options | L-155: logs 2GB | L-067: log files options | L-065: on primary,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-039,39,c3896596b39fa277cd42f96707e10150f8571043,c3896596b3,3755.119,599.685,800.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-067: log files options | L-068: log on | L-065: on primary | L-066: primary file options | L-156: multiple windows with queries,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-040,40,542c8bd1d994bce0eb0059c1b5e031cdfdfd4afb,542c8bd1d9,3779.092,997.156,600.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-067: log files options | L-068: log on | L-154: default max limit for | L-156: multiple windows with queries | L-157: = multiple connections,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-041,41,a72c23a7ab4d0dea24a7646d08d5706eafc95576,a72c23a7ab,2027.286,2312.151,651.0,301.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-152: is log db created by default | L-151: Defalults | L-155: logs 2GB | L-154: default max limit for | L-066: primary file options,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-042,42,65e83ad4a6bccae1e6c0c5e965043e640728a3b9,65e83ad4a6,1957.489,2662.985,953.0,186.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-152: is log db created by default | L-151: Defalults | L-155: logs 2GB | L-154: default max limit for | L-066: primary file options,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
S-043,43,86a21c97b577a6d7301ef0c4ffa5d772c9f4d43a,86a21c97b5,2064.195,2920.526,562.0,376.0,0.0,1,R01-database-creation-master-model-go-files,P01-R01R02-server-database-admin-and-security,"CREATE DATABASE, ON PRIMARY, LOG ON, file options, master/model/system DBs, GO, model defaults, multi-window/batch behavior.",L-152: is log db created by default | L-151: Defalults | L-155: logs 2GB | L-154: default max limit for | L-066: primary file options,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,include-r01,"Belongs to database creation, file options, master/model/system DBs, GO/batches/connections."
