source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close,p03_boundary_decision,p03_boundary_note
S-082,82,dd8b10fd9585f06b89249476c398e664455aba62,dd8b10fd95,1621.261,17282.384,900.0,376.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-049:  | L-048: merge | L-047: Upsert with | L-051: with If exists | L-050: Easier path,checked-not-p02-reserved-for-p03-r05,yes-not-p02,Checked during P02; belongs to MERGE/upsert/DDL-object pass.,candidate-P03-R05,yes-for-p03-r05,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-083,83,395ae97eb0be32555a192f9836e5425eefcc62cf,395ae97eb0,1626.035,17660.894,721.0,482.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-049:  | L-048: merge | L-047: Upsert with | L-051: with If exists | L-050: Easier path,checked-not-p02-reserved-for-p03-r05,yes-not-p02,Checked during P02; belongs to MERGE/upsert/DDL-object pass.,candidate-P03-R05,yes-for-p03-r05,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-084,84,e727e9ba276902741e4fbbc46f76a13b6942e54d,e727e9ba27,2512.011,17290.338,672.0,482.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-051: with If exists | L-050: Easier path | L-052: Transactions | L-049:  | L-048: merge,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-085,85,74012bea719cb754c9c97d6e238532148df1c764,74012bea71,2434.824,11469.058,949.0,411.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-011: Table with foreign key | L-012: foreign key with cascade | L-039: Create table | L-013: return created row data | L-038: Insert,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-086,86,56d0fef97aa8736c73e8d5e4b1e5b0b3f821e26a,56d0fef97a,2441.133,11958.255,828.0,280.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-012: foreign key with cascade | L-011: Table with foreign key | L-033: inserted with table | L-034: variable pattern | L-013: return created row data,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-087,87,20120f63e7a485cff6b32aa3892c6a25eb22eedd,20120f63e7,3623.209,17296.976,653.0,64.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-052: Transactions | L-053: Indexes | L-051: with If exists | L-050: Easier path | L-029: add column,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-088,88,c83b17b447801676116f91b59ce33b900b6fc35f,c83b17b447,3590.557,17364.487,812.0,482.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-052: Transactions | L-053: Indexes | L-051: with If exists | L-050: Easier path | L-030: alter column,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-089,89,de4b094dbb61fe94d9b214a98e544c5e7ce5fae9,de4b094dbb,4720.376,17298.31,1002.0,408.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-053: Indexes | L-030: alter column | L-029: add column | L-031: drop column | L-054: ALTER TABLE,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-090,90,6bf0c1bf7357fa82c4cc2436b24ac47bd6dbab5a,6bf0c1bf73,4711.043,17743.643,964.0,404.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-032: add constr | L-031: drop column | L-053: Indexes | L-030: alter column | L-029: add column,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
S-091,91,0ef02d540f4aaaf5d9b6276300d9ea7a258e86df,0ef02d540f,5971.709,17283.643,996.0,224.0,0.0,1,R05-upsert-merge-transactions-indexes-alter-constraints-views,P03-R05-upsert-merge-alter-indexes-constraints-views,"UPSERT/MERGE, IF EXISTS easier path, transactions, indexes, ALTER TABLE, add/drop/alter columns, constraints, primary/foreign/unique/default/check, views/indexed views.",L-029: add column | L-030: alter column | L-054: ALTER TABLE | L-031: drop column | L-016: add default constr,candidate-needs-boundary-review,no,Coordinate/source-order candidate only; must be visually/semantically checked before transcript.,R05-upsert-merge-transactions-indexes-alter-constraints-views,yes,include-r05,"Belongs to MERGE/upsert, transactions, indexes, ALTER TABLE, constraints, views/indexed views."
