source_id,image_use,file_sha,x,y,width,height,candidate_region,status,notes
S-001,IU-001,c9ff75b542,2471.1894179463616,315.5537414099758,932.0,222.0,R02,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-002,IU-002,dbda223685,2477.0226698994866,583.8870543982571,835.0,72.0,R02,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-003,IU-003,ae3e1ac2e8,2554.406125289867,1267.4040176039125,778.0,406.0,R02,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-004,IU-004,18b3622b47,2475.689295876049,757.8870543982571,771.0,340.0,R02,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-005,IU-005,5b98d5266d,1321.7246618422778,319.0967903945749,760.0,482.0,R01,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-006,IU-006,082329db10,1279.7744383923728,1265.4897823324966,801.0,413.0,R01,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-007,IU-007,bad30f660f,1348.7529037264753,807.2557201333614,705.0,428.0,R01,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-008,IU-008,c037ba6d0d,4598.60733144514,1587.3993898739245,854.0,177.0,R03,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-009,IU-009,ee58acd815,4659.77795725463,1057.4162505588918,806.0,482.0,R03,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-010,IU-010,67f77d96e2,4567.068365980562,582.239065500298,849.0,446.0,R03,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-011,IU-011,fd92dde4e1,4468.512946058687,331.35021051982926,895.0,210.0,R03,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
S-012,IU-012,1b97662abb,4541.082337053017,1892.6483776944594,1019.0,443.0,R03,closed-by-stage1-final-coverage,Closed by combined three-conspect final coverage archive v001.
