idx,text,x,y,font_size
1,stored proc with,9710.29636294999,173.27870251464844,185.3333740234375px
2,dif sql api's,9710.29636294999,404.9454200439453,185.3333740234375px
3,why stored procedures,12021.68635154896,594.3557517053896,106.85714285714279px
4,stored procedures,14095.714697484196,1644.1870570681574,166.71327057651712px
5,ado.net usage,14095.714697484196,1852.5786452888037,166.71327057651712px
6,syntax,15674.153284810493,1942.6473393830072,199.04764229910725px
7,scope_identity(),17123.101284461532,3052.3386519668466,75.11110432942698px
8,ef core and stored proc,7388.291025066821,3819.8288048993527,203.61905343191904px
9,usage,7388.291025066821,4074.3526216892515,203.61905343191904px
10,manual queries,5400.227522654153,4107.968706322065,222.6666259765625px
11,cant buld query on top,5080.265105740904,4350.186998938427,72.67176708214686px
12,of stored procedure in sql server,5080.265105740904,4441.02670779111,72.67176708214686px
13,returning data with stored procedure,16316.516835672744,4519.778005595267,236.35664340023084px
14,"fromsql for tracked,",6484.64557423758,4537.012045214119,70.56790726273142px
15,CUD operations ef core mapping,9129.059186292216,4563.90575318211,151.428606305804px
16,db calls with/without stored procedure,3333.680857705014,4599.143270531404,87.55556640624998px
17,sql server doesn allow composing over interm results of,5122.495784517863,4599.496957549905,38.20030458809248px
18,entity mapped,6484.64557423758,4625.221929292533,70.56790726273142px
19,stored procedure,5122.495784517863,4647.24733828502,38.20030458809248px
20,asenumerable starts db call,5122.495784517863,4694.997719020136,38.20030458809248px
21,select results,6484.64557423758,4713.431813370948,70.56790726273142px
22,to stored procefures,9129.059186292216,4753.191511064365,151.428606305804px
23,result from select,16407.43785417775,4975.251593849763,53.64829425604644px
24,output params,16407.43785417775,5042.31196166982,53.64829425604644px
25,output param return,16407.43785417775,5109.372329489879,53.64829425604644px
26,can we read,17863.401554503824,5173.731642018453,49.06666259765624px
27,when nocount actually useful,16407.43785417775,5176.432697309937,53.64829425604644px
28,select from stored proc,17863.401554503824,5235.064970265524,49.06666259765624px
29,database.sql query for single,6412.793767596955,5245.740601547308,60.29629629629626px
30,while using executesql,17863.401554503824,5296.398298512594,49.06666259765624px
31,non entity,6412.793767596955,5321.110971917678,60.29629629629626px
32,not tracked stored proc results,6412.793767596955,5396.481342288049,60.29629629629626px
33,reading select with fromsql,17863.401554503824,5419.064955006735,49.06666259765624px
34,can we get output params with fromsql?,18904.946465324825,5436.593624219626,95.01792579072057px
35,ef core,8033.357659996913,5558.368586309697,43.107002784192446px
36,using linq and stored procefures,8033.357659996913,5612.252339789938,43.107002784192446px
37,executesqlinterpolated,6492.256418015209,5949.3360783772405,99.23808942522314px
38,usage,6492.256418015209,6073.383690158769,99.23808942522314px
39,!!!,6373.898743480731,6762.222058045363,176.44445219494054px
40,database.sql query for select from sp,17564.011612493145,6920.238058235027,70.93851843605985px
41,for single values as value,17564.011612493145,7008.911206280101,70.93851843605985px
42,can it get output params?,17564.011612493145,7097.584354325176,70.93851843605985px
43,can fromsql get single value?,17564.011612493145,7274.9306504153255,70.93851843605985px
44,cud operations mappig methods  for savechanges,3770.0,7636.663079314261,201.3330078125001px
45,cud operations examples,10241.905148460755,7670.31614804566,249.33349609374994px
46,ef say to use this with,1161.5548031293347,7794.405590268084,59.111124674479676px
47,hasorigvalueparam,2332.1641229311535,7810.021074459156,135.55550130208138px
48,keys and rowversion,1161.5548031293347,7868.294496111183,59.111124674479676px
49,dont know about eceptions,1161.5548031293347,7942.183401954283,59.111124674479676px
50,if i wont use but they say to use,1161.5548031293347,8016.072307797383,59.111124674479676px
51,input/output mapping,4833.561775392323,8143.1158834551225,89.33332519531244px
52,conflicting params/return/results,6259.111915829075,8174.514762664036,143.076923076922px
53,cant have multiple types of affected rows values/params,6511.886262877462,8312.201672498151,32.8px
54,when has result columns -rows affected not needed,6511.886262877462,8353.201672498151,32.8px
