source_id,decision,candidate_type,reason
S-033,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-041,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-042,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-043,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-044,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-045,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-046,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-047,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-048,included-in-R02-v001,same-road-continuation,Duplicate image content appears in two canvas placements; both image uses are recorded.
S-049,included-in-R02-v001,same-road-continuation,Duplicate image content appears in two canvas placements; both image uses are recorded.
S-050,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-051,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-052,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-053,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-054,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-055,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-056,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-057,included-in-R02-v001,same-road-continuation,Pulled from initial R06 lower-tail candidate because it continues the R02 MemoryStream / send-data road.
S-058,included-in-R02-v001,same-road-continuation,Pulled from initial R06 lower-tail candidate because it continues the R02 MemoryStream / send-data road.
S-059,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-060,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-061,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-062,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-063,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-064,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-065,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-066,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-067,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-068,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-079,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-080,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-081,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-082,included-in-R02-v001,same-road-continuation,Included after local visual/semantic boundary review.
S-031,excluded-from-R02-already-R01,already-processed-overlap,Semantically pulled into R01: stream concept / two meanings intro.
S-032,excluded-from-R02-already-R01,already-processed-overlap,Semantically pulled into R01: stream concept / two meanings intro.
S-069,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-070,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-071,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-072,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-073,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-074,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-075,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-076,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-077,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-078,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
S-083,checked-not-R02-candidate-R06,lower-tail-neighbor,Benefits/mental-model/lower-tail material; keep for R06 or later boundary review.
