source_id,fileId_short,initial_candidate_band,final_region,coverage_status,coverage_category,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes
S-001,0b47610612,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-002,fd9db43c2e,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-003,79d472135b,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-004,a5138159cf,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-005,57dda1cff1,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-006,82efdf3d5e,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-007,0519fd4e15,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-008,e9154019a5,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-009,d865a2c85a,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-010,3336c0c8cc,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-011,12fed4d3eb,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-012,17a6484951,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
S-013,5aaeff58eb,R03-candidate-streaming-objects-async-iteration-rest-concerns,R03,processed-in-r03-v001,processed,yes-for-r03-v001-boundary,no-for-r03-v001,Included in R03 v001 after visual/semantic boundary review.,Included in R03 v001 after visual/semantic boundary review.
