image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,ad316a5c5522,image-9036681b2e551c317e34b675a59dce19e4bd03bf,421.93254744711385,147.1434250654329,910.0,332.0,910,332,source/images/ad316a5c5522.png
S-002,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,82919ad78e0b,image-9671358f5f7eff0bcd5fb1eefaf51e68ec48829e,1981.3734414313958,166.01520154164427,523.0,376.0,851,612,source/images/82919ad78e0b.png
S-003,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,66b4d92191cc,image-933f3b74b252ddbc2b932e18be8b997f262a4898,471.3977709714186,554.9501606340091,725.0,482.0,866,576,source/images/66b4d92191cc.png
S-004,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,f2715b706fd2,image-b9f013cfcb36f9c5206bd5771e217c152e018792,1977.798839915171,570.1402396886169,847.0,353.0,847,353,source/images/f2715b706fd2.png
S-005,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,aaeb56e6f03e,image-cdc1c9412e674e8287add927f1274569bcc83d16,1972.8400546134803,927.6818809239685,590.0,376.0,844,538,source/images/aaeb56e6f03e.png
S-006,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,3992da810c27,image-5983eecd7abb6523c7f0a3487f1541290950aafd,459.0510939839364,1060.1353006079698,670.0,482.0,893,643,source/images/3992da810c27.png
S-007,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,686eb62cf9e0,image-fd52122a036d0755920b54b33a6e0dd327f74a97,491.9592950570691,1652.5879448443684,534.0,330.0,882,545,source/images/686eb62cf9e0.png
S-008,R01,"Span<T>, ReadOnlySpan<T>, ref struct fundamentals and stack-only lifetime rules",processed,b79c53f19f8f,image-9fb35dcbb3758e6123aaba4161dfe450395de3f1,483.6500796683881,2034.7860151589975,565.0,330.0,961,561,source/images/b79c53f19f8f.png
S-009,R02,"slicing, stackalloc, parsing and allocation-free data processing",processed,34cb7f84c055,image-1ccc55b2e908e0db36d6fe58ad30ace3e882c356,400.9710906222913,2468.809862619106,645.0,379.0,873,513,source/images/34cb7f84c055.png
S-010,R02,"slicing, stackalloc, parsing and allocation-free data processing",processed,6e28a3867b8c,image-e402f49f3dfa39bdc478f0e297539e131bbaa5ae,345.9128853136831,2914.1871931635087,762.0,379.0,904,450,source/images/6e28a3867b8c.png
S-011,R02,"slicing, stackalloc, parsing and allocation-free data processing",processed,dee09a877b21,image-aa163ba0e7b3fd1a32e4295b317d09e8268b8fe8,318.97084559641326,3339.7780012221338,754.0,405.0,1010,542,source/images/dee09a877b21.png
S-012,R02,"slicing, stackalloc, parsing and allocation-free data processing",processed,944594a0ec4e,image-8da40dda47a5e7c9e4fdb6a92ab5c177ba953673,197.9830891925726,3797.5662862282734,1025.0,332.0,1025,332,source/images/944594a0ec4e.png
S-013,R02,"slicing, stackalloc, parsing and allocation-free data processing",processed,cf25d0bc9a35,image-63a989639070324c505586e97c2be953852b25ee,187.31709615134196,4168.208220097167,915.0,405.0,1038,459,source/images/cf25d0bc9a35.png
S-014,R02,"slicing, stackalloc, parsing and allocation-free data processing",processed,12308c08176e,image-7ea1277cc2383637ccdcc082adf24d05f2039cb1,182.3167644667701,4612.010123065938,760.0,405.0,975,519,source/images/12308c08176e.png
S-015,R03,"Memory<T>/ReadOnlyMemory<T>, async boundaries, escape analysis and performance trade-offs",processed,87f97113cf76,image-6fa0f11f4d819768d957cdf09ed541ad25867663,113.5479556821324,5046.846303664106,787.0,405.0,1071,551,source/images/87f97113cf76.png
S-016,R03,"Memory<T>/ReadOnlyMemory<T>, async boundaries, escape analysis and performance trade-offs",processed,21cea2fd3b75,image-342fc9590e9ed9be37d08aedd89250eb12a5ba4f,85.11912147219755,5435.756537556594,898.0,482.0,1033,555,source/images/21cea2fd3b75.png
S-017,R03,"Memory<T>/ReadOnlyMemory<T>, async boundaries, escape analysis and performance trade-offs",processed,5aa58aaa4de9,image-8aa85f2961725b159682e246454ff9e28179c298,131.41482178678962,5960.6763977199225,660.0,482.0,979,715,source/images/5aa58aaa4de9.png
S-018,R03,"Memory<T>/ReadOnlyMemory<T>, async boundaries, escape analysis and performance trade-offs",processed,51b5593eb893,image-500b60eb8dba934909528c04d081f23986bd3653,175.01608322372158,6474.9470103963395,501.0,354.0,924,653,source/images/51b5593eb893.png
S-019,R03,"Memory<T>/ReadOnlyMemory<T>, async boundaries, escape analysis and performance trade-offs",processed,359393863e34,image-15359d20cb69d5a47fd93601c4bae97b09aa12e7,69.75177661828457,6859.5673099794385,745.0,148.0,1052,209,source/images/359393863e34.png
S-020,R04,"custom ref structs, scoped/ref safety, copying semantics and practical checklists",processed,9589f0b4b3be,image-955e15f8efa6488754661dff27c886e394c1d021,96.71993809539254,7073.245104628457,645.0,317.0,1028,505,source/images/9589f0b4b3be.png
S-021,R04,"custom ref structs, scoped/ref safety, copying semantics and practical checklists",processed,51f5146d9232,image-fbd68a5b7c046e3c39b05a70f49e8ce66b0cd0e7,54.97630451878058,7569.381248169864,841.0,405.0,1051,506,source/images/51f5146d9232.png
S-022,R04,"custom ref structs, scoped/ref safety, copying semantics and practical checklists",processed,00f2b0c359da,image-bff6f2528403b899a90d94e9b17805c551267124,10.0,8065.3990242109485,1026.0,248.0,1026,248,source/images/00f2b0c359da.png
