image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R03,"interfaces, implements contracts and ordinary class construction",processed,0917bf79fe5e,image-2d15627da5179c8f1819b0052ca95063be3ff688,2135.857168316271,242.96469809793052,625.0,257.0,625,257,source/images/0917bf79fe5e.png
S-002,R02,"TypeScript getters/setters, backing fields, validation and setter return rules",processed,f9513e234921,image-d0ebcbaf1d3038fab7f8d7f1f18d7475449bf331,1032.2478019695664,276.0872923504212,436.0,369.0,896,759,source/images/f9513e234921.png
S-003,R01,"static class members, shared counters and instance identifiers",processed,26179da960eb,image-dd048676d8b6f4aae8cf871cba8fa9e19b244b9e,10.0,378.4863678147667,445.0,369.0,755,627,source/images/26179da960eb.png
S-004,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,d457587b7ac4,image-5488ffd4cd7b9cd8330f3622815dd0d0553fd0a2,3626.4820434977096,423.86137018851514,977.0,396.0,977,396,source/images/d457587b7ac4.png
S-005,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,b6eef01789c5,image-897b903dc372cf2d1c5abf99f29487deeec27747,4849.5845750959525,428.2238999907231,898.0,462.0,898,462,source/images/b6eef01789c5.png
S-006,R03,"interfaces, implements contracts and ordinary class construction",processed,f7a9e3cb66c1,image-915e64660d1465db3df0ab4af3819e3efc4b27df,2162.950220727591,633.2027791148575,565.0,369.0,908,594,source/images/f7a9e3cb66c1.png
S-007,R02,"TypeScript getters/setters, backing fields, validation and setter return rules",processed,ac7ec287e9a0,image-3ffa85d075f95cd1382e3bcbaed458a932cc4c35,901.735698270335,821.6489228886494,624.0,154.0,624,154,source/images/ac7ec287e9a0.png
S-008,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,e53689f706a3,image-7ce1f7b5faaacbf75fcd2ad1ac17a43866407c7f,3649.5804394356746,840.5086092680685,898.0,279.0,898,279,source/images/e53689f706a3.png
S-009,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,151c8b5d7691,image-90663a484453d822065afb3a6029d1b11c6ba3b8,4865.251532406221,896.6763100074631,920.0,287.0,920,287,source/images/151c8b5d7691.png
S-010,R02,"TypeScript getters/setters, backing fields, validation and setter return rules",processed,2f03dd3fdc91,image-cd1648612392ce08eb49b072f06cb7cb81c2f623,927.6892644215604,1044.3180936150893,580.0,305.0,787,414,source/images/2f03dd3fdc91.png
S-011,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,93d695a4a249,image-e5f62b132b73f6e4f52ee1ff30b2c8f5e115775e,3675.16909814354,1154.0903963774363,767.0,482.0,849,534,source/images/93d695a4a249.png
S-012,R02,"TypeScript getters/setters, backing fields, validation and setter return rules",processed,7273f5f9f034,image-b4e9d7b6882b83b4f09db8b5a9db201d70b73a7c,855.7557746752518,1431.956985697936,595.0,145.0,595,145,source/images/7273f5f9f034.png
S-013,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,951d4794a659,image-81a40ced8d87201a3943a716a2a508725b79fc92,3702.223296578532,1677.2466245791547,897.0,456.0,897,456,source/images/951d4794a659.png
S-014,R04,"constructor parameter properties, access modifiers, inheritance, super and definite assignment assertion",processed,6383e79ccf42,image-5cbf9d5c8c7a43104af5107c6bac3befe442f8f8,3733.985259469157,2176.699034595895,963.0,299.0,963,299,source/images/6383e79ccf42.png
