use_id,image_id,filename,sha256_12,region_id,x,y,width,height,opacity,duplicate_of_use_id,nearest_text_ids,nearest_captions,status
IU-001,image-8b06d0be8acf121337ac2f14ae93eb747a93c582,bf670291d0bf.png,bf670291d0bf,R02,4780.100517306737,1033.3244454368541,879.0,336.0,1.0,,T-007|T-001|T-008,CheckConsentNeeded|usecookiepolicy|MinimumSameSitePolicy,pending_transcript
IU-002,image-8247afc343d0e6712332fdf545f66735ac6b28b3,182e66f174d7.png,182e66f174d7,R02,4771.600680067151,629.1021147076826,824.0,364.0,1.0,,T-001|T-007|T-002,usecookiepolicy|CheckConsentNeeded|---All options cheat sheet---,pending_transcript
IU-003,image-0ca5110f72f1a4a66ab2936b0cdfac32ecd390b9,c90e8f1546bb.png,c90e8f1546bb,R02,4874.78631665291,1770.2458916849355,895.0,243.0,1.0,,T-007|T-008|T-009,CheckConsentNeeded|MinimumSameSitePolicy|HttpOnly,pending_transcript
IU-004,image-4f6be851f25fdad75362d83caac3544c825a36bf,65a1c28c29a1.png,65a1c28c29a1,R02,4871.853287347687,2142.7029311512088,870.0,238.0,1.0,,T-009|T-008|T-010,HttpOnly|MinimumSameSitePolicy|Secure,pending_transcript
IU-005,image-406b21205e9c939b0d5fafb921a37d46d2008f72,d51af71f5201.png,d51af71f5201,R02,4868.064935955699,2519.5818998895775,874.0,199.0,1.0,,T-009|T-010|T-011,HttpOnly|Secure|ConsentCookie,pending_transcript
IU-006,image-d7f50d130f5ea48be927da9207e2ca9745e901b9,1f1b29c1f40e.png,1f1b29c1f40e,R02,4898.898432049449,2856.415273913015,903.0,216.0,1.0,,T-010|T-011|T-009,Secure|ConsentCookie|HttpOnly,pending_transcript
IU-007,image-1e6c2f775f675d3a8ce2d28cd864168ca75a3fe8,6293f78763b5.png,6293f78763b5,R02,4898.065058026012,3224.08202195989,822.0,198.0,1.0,,T-011|T-042|T-013,ConsentCookie|!!!|ConsentCookieValue,pending_transcript
IU-008,image-263be11437ceb6c832a7a1c3a9edfdce74059167,885390705cbf.png,885390705cbf,R02,4882.731684002574,3594.748586901296,754.0,86.0,1.0,,T-015|T-013|T-042,OnAppendCookie|ConsentCookieValue|!!!,pending_transcript
IU-009,image-1c0cad5fb0ec7e7a6b44433315ae939517353e74,2dfebdf2cd2b.png,2dfebdf2cd2b,R02,4869.231806072887,3823.5818998895775,877.0,215.0,1.0,,T-015|T-017|T-020,OnAppendCookie|OnDeleteCookie|What is cookie deletion,pending_transcript
IU-010,image-d18db8c7b92d6aece35d9ec16f9ecb93c531fddd,e7af1cc9d816.png,e7af1cc9d816,R02,4849.231684002574,4194.2486479364525,869.0,207.0,1.0,,T-017|T-015|T-020,OnDeleteCookie|OnAppendCookie|What is cookie deletion,pending_transcript
IU-011,image-3e0dc252b33fff9f6b24db44d22f26466a1ff5c4,ca1444b15ff9.png,ca1444b15ff9,R03,6341.491734977475,2658.6101819618198,890.0,479.0,1.0,,T-016|T-023|T-020,OnAppendCookie|When does deltetion occur|What is cookie deletion,pending_transcript
IU-012,image-03024229df76de0ff664de64b00a643c21e94fa0,66921105093a.png,66921105093a,R03,6346.213821566017,3171.6101819618198,945.0,433.0,1.0,,T-023|T-016|T-020,When does deltetion occur|OnAppendCookie|What is cookie deletion,pending_transcript
IU-013,image-e9b132fdbc45429732d199b5d149aec179c5a84c,436c96479690.png,436c96479690,R02,2907.642343020234,738.8729629781083,911.0,427.0,1.0,,T-003|T-002|T-004,consent|---All options cheat sheet---|CheckConsentNeeded,pending_transcript
IU-014,image-2b0d0726797909780088b9b4809bf78d106d8b32,874187c90233.png,874187c90233,R02,2904.8157927801094,1243.1877094770025,942.0,440.0,1.0,,T-004|T-002|T-003,CheckConsentNeeded|---All options cheat sheet---|consent,pending_transcript
