source_id,decision,region,subregion,reason
S-042,processed-in-viv04-v001,VIV04,VIV04B,WITH SCHEMABINDING meaning
S-043,processed-in-viv04-v001,VIV04,VIV04B,Examples of schema changes that would fail
S-044,processed-in-viv04-v001,VIV04,VIV04B,Why SQL Server blocks those changes
S-045,processed-in-viv04-v001,VIV04,VIV04B,Why indexed views require SCHEMABINDING
S-046,processed-in-viv04-v001,VIV04,VIV04B,SQL Server requires schemabinding before indexed view index
S-047,processed-in-viv04-v001,VIV04,VIV04C,SCHEMABINDING rule: two-part table names
S-048,processed-in-viv04-v001,VIV04,VIV04C,SCHEMABINDING rule: avoid SELECT star
S-049,processed-in-viv04-v001,VIV04,VIV04D,COUNT_BIG versus COUNT
S-050,processed-in-viv04-v001,VIV04,VIV04D,Why indexed grouped views need COUNT_BIG
S-051,processed-in-viv04-v001,VIV04,VIV04A,Make the view eligible for indexing
S-052,processed-in-viv04-v001,VIV04,VIV04A,Recreate the view with schemabinding and COUNT_BIG
S-053,processed-in-viv04-v001,VIV04,VIV04A,Important parts of indexed-view-compatible definition
