source_id,image_use_id,fileId_short,region,subregion,coverage_status,decision_is_final,audit_result,review_notes
S-001,IU-001,afbe3b1521,VIV01,VIV01A,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-002,IU-002,7984b7fabb,VIV01,VIV01A,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-003,IU-003,21337ffaa2,VIV01,VIV01A,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-004,IU-004,f29abf7252,VIV01,VIV01A,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-005,IU-005,345db22642,VIV01,VIV01A,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-006,IU-006,0b4d618223,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-007,IU-007,4bb0f17d01,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-008,IU-008,da30d5c58f,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-009,IU-009,ee0f624ae0,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-010,IU-010,ee05943b73,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-011,IU-011,969f797df8,VIV02,VIV02B,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-012,IU-012,23556a5bd6,VIV02,VIV02B,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-013,IU-013,4652d83b27,VIV02,VIV02B,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-014,IU-014,11ad4ef440,VIV02,VIV02B,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-015,IU-015,fd59600e46,VIV02,VIV02C,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-016,IU-016,488ada1965,VIV02,VIV02C,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-017,IU-017,f15669f4b4,VIV02,VIV02C,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-018,IU-018,c7bec476cf,VIV01,VIV01B,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-019,IU-019,9d09484977,VIV01,VIV01B,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-020,IU-020,930eb5eaf5,VIV01,VIV01B,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-021,IU-021,2ae3756652,VIV01,VIV01B,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
S-022,IU-022,9faf423ed5,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-023,IU-023,435df14af8,VIV02,VIV02A,processed-in-viv02-v001,yes-for-viv02-v001-boundary,ok-processed,Included in VIV02 v001 after NEXT01 visual/semantic transcript pass.
S-024,IU-024,5bfc37a3fa,VIV01,VIV01C,processed-in-viv01-v001,yes-for-viv01-v001-boundary,ok-processed,Included in VIV01 v001 after NEXT01 visual/semantic transcript pass.
