text_id,text,candidate_region,theme
T-024,Indexed views,VIV03,canvas text label / local note
T-025,view/indexed view,VIV03,canvas text label / local note
T-026,with material dependent,VIV03,canvas text label / local note
T-027,table,VIV03,canvas text label / local note
T-038,Clustered index first,VIV03,canvas text label / local note
T-039,flow when source row,VIV03,canvas text label / local note
T-040,changes/writes cost,VIV03,canvas text label / local note
T-041,indexed view cost,VIV03,canvas text label / local note
T-042,why clustered index,VIV03,canvas text label / local note
T-043,at first,VIV03,canvas text label / local note
