x,y,text,label_id,region_candidate,stage1_status
23274.43194160078,10.0,"sending messages
from browser with websocket
closing",T-001,R01,closed-by-stage1-final-coverage-v001
16933.04177164083,115.65364982774918,react,T-002,R01,closed-by-stage1-final-coverage-v001
25054.43255195234,123.93958351830952,closing,T-003,R01,closed-by-stage1-final-coverage-v001
20252.337026475027,195.77655901438993,"processing messages wit hwebsocket
on client",T-004,R01,closed-by-stage1-final-coverage-v001
15313.597191562705,228.98698316108312,js websocket,T-005,R01,closed-by-stage1-final-coverage-v001
13144.153527011926,240.83878980171175,basics,T-006,R01,closed-by-stage1-final-coverage-v001
10419.708540032758,247.50545646837963,asp websockets,T-007,R01,closed-by-stage1-final-coverage-v001
26350.18434251001,261.08480123259505,available codes,T-008,R01,closed-by-stage1-final-coverage-v001
10.0,269.52041637984803,"processing different types of messages
processing binary on server",T-009,R01,closed-by-stage1-final-coverage-v001
27326.628909024766,276.6403669606807,"about code/reason
how browser checks code/reason
how server checks code/reason",T-010,R01,closed-by-stage1-final-coverage-v001
4363.985127933249,376.10227763863804,closeasync/closeoutputasync/abort differences,T-011,R01,closed-by-stage1-final-coverage-v001
5469.494826798296,496.5255887483072,summary,T-012,R01,closed-by-stage1-final-coverage-v001
7513.302692165842,509.20979778669425,clientwebsocket,T-013,R01,closed-by-stage1-final-coverage-v001
12784.927447275146,1855.94765761306,!!!,T-014,R01,closed-by-stage1-final-coverage-v001
11687.053411359706,2026.3679728793632,"can chet for
messagetype close
too
on both
we close connection",T-015,R01,closed-by-stage1-final-coverage-v001
20202.81337971163,2379.7766854443253,!!!,T-016,R01,closed-by-stage1-final-coverage-v001
5194.395441932202,2733.0203766242194,when close received we shouldnt do that,T-017,R01,closed-by-stage1-final-coverage-v001
11391.053248599288,2772.145723530404,"on end of message
stop the loop",T-018,R01,closed-by-stage1-final-coverage-v001
5238.135569622717,2859.401112621358,more like close not received,T-019,R01,closed-by-stage1-final-coverage-v001
13240.953991052098,3288.278449903941,browser websocket optons,T-020,R01,closed-by-stage1-final-coverage-v001
7527.747272243968,3411.4321386883867,clientoptions,T-021,R01,closed-by-stage1-final-coverage-v001
