image_use_id,region,semantic_section,topic,source_status,semantic_review_status,sha256_12,asset_path,x,y
S-001,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,4d3952723852,source/images/4d3952723852.png,24851.437710008628,334.29833706945647
S-002,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,7c47a77d6a53,source/images/7c47a77d6a53.png,26149.570952366892,382.6326516331392
S-003,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,ca160f3b01b6,source/images/ca160f3b01b6.png,23323.928920950515,400.965068470352
S-004,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,945140e59946,source/images/945140e59946.png,10322.657966800036,488.3263054629642
S-005,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,aeee04746fc4,source/images/aeee04746fc4.png,27317.833011637802,518.3080736250122
S-006,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",already_present,processed,8706118b38f9,source/images/8706118b38f9.png,20396.41758993817,522.9253733195583
S-007,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,091f62cba583,source/images/091f62cba583.png,26174.519797262084,549.0215269586552
S-008,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,a3b84523d640,source/images/a3b84523d640.png,12956.409036750016,559.9765814954353
S-009,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,7b28dd27c533,source/images/7b28dd27c533.png,16854.996361130696,599.8669541503186
S-010,R01,R01-A,"close codes, reasons, browser close validation and high-level client patterns",recovered_new,processed,e3974a414d99,source/images/e3974a414d99.png,4157.503655494014,607.8059604321606
S-011,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,7d319c041482,source/images/7d319c041482.png,15125.329735154135,620.2001603270764
S-012,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,e62dae350c40,source/images/e62dae350c40.png,5394.5538891638535,626.4805041128857
S-013,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,52a22b0d46a7,source/images/52a22b0d46a7.png,910.7252291550758,695.5442187036169
S-014,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,67dfefa54a95,source/images/67dfefa54a95.png,24802.20539019808,846.7878834117946
S-015,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,2aa40ee3b049,source/images/2aa40ee3b049.png,4110.337151587764,886.9727084790356
S-016,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,f911c9d4b7e8,source/images/f911c9d4b7e8.png,16759.003667129517,895.5641304522505
S-017,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,c0c171d8f708,source/images/c0c171d8f708.png,23300.44716709794,902.6061484597085
S-018,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,2836691d681c,source/images/2836691d681c.png,7500.719358832509,930.348652767163
S-019,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,9bd194288e8c,source/images/9bd194288e8c.png,26171.515410374705,980.6882343154357
S-020,R01,R01-B,"browser and ASP.NET receive loops, fragmentation and graceful close",recovered_new,processed,69ad181e0816,source/images/69ad181e0816.png,10329.731098486433,994.9929408295575
S-021,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",already_present,processed,211f4c16adb2,source/images/211f4c16adb2.png,20383.988673452724,1025.9847378340273
S-022,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,7213a6739d46,source/images/7213a6739d46.png,27288.61046500202,1037.663666340588
S-023,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,04469034a6f6,source/images/04469034a6f6.png,12986.816471797716,1056.2995235934122
S-024,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,feaa1b297f01,source/images/feaa1b297f01.png,15186.886746802882,1058.544032397389
S-025,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,dc7fe6aaba2a,source/images/dc7fe6aaba2a.png,938.8770145005255,1072.110167189945
S-026,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,94b7fe3d06b6,source/images/94b7fe3d06b6.png,24790.675050176775,1321.7878834118019
S-027,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,c03536ca2994,source/images/c03536ca2994.png,4092.3371515877643,1321.806021467317
S-028,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,ad306ca95b5a,source/images/ad306ca95b5a.png,23284.84114348288,1358.924358021155
S-029,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,5569c4ed8f00,source/images/5569c4ed8f00.png,7533.883075147874,1373.6368133031865
S-030,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,8ac798c373c4,source/images/8ac798c373c4.png,13021.393078940573,1374.4210089856697
S-031,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,8b0b185cdb20,source/images/8b0b185cdb20.png,16809.487892460624,1407.945111897563
S-032,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,39f099a76220,source/images/39f099a76220.png,10315.101524894575,1412.2704706692748
S-033,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,a92bef196b89,source/images/a92bef196b89.png,27307.61046500202,1438.4970251052364
S-034,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",already_present,processed,341ac6c067ab,source/images/341ac6c067ab.png,20403.94536490716,1552.5919992961208
S-035,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,cdc485312d0a,source/images/cdc485312d0a.png,15158.99648320101,1568.033534350514
S-036,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,d80aa7cc8c40,source/images/d80aa7cc8c40.png,938.7808321824195,1571.5997912133826
S-037,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,6d6a1285f7e4,source/images/6d6a1285f7e4.png,4092.654079205833,1796.9832065259106
S-038,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,7c5d3dfdf591,source/images/7c5d3dfdf591.png,23272.99251067038,1821.1062039462267
S-039,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,c07deba0398f,source/images/c07deba0398f.png,7473.051456054732,1887.7109099828758
S-040,R01,R01-C,"text/binary dispatch, helper methods, enums and close-output semantics",recovered_new,processed,5bba875353ac,source/images/5bba875353ac.png,13023.933887408906,1893.7372312054267
S-041,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,c6f6b1810f7a,source/images/c6f6b1810f7a.png,919.9473360886695,1904.266417189945
S-042,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,4f703a630ec4,source/images/4f703a630ec4.png,16792.713490857685,1914.7661400515399
S-043,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,f6f2dd81b01d,source/images/f6f2dd81b01d.png,10312.64191712653,1924.1489598456974
S-044,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,34766fecfb08,source/images/34766fecfb08.png,27319.462099942735,1931.8071150075557
S-045,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,135153ffb344,source/images/135153ffb344.png,20363.52783981208,2116.0148097467827
S-046,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,660bf2700f25,source/images/660bf2700f25.png,27322.60514019106,2145.5927987756877
S-047,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,26356721bd01,source/images/26356721bd01.png,10298.440307297515,2242.3156773749943
S-048,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,28b7ed5c86af,source/images/28b7ed5c86af.png,16846.42777657197,2278.4566274206163
S-049,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,48cdffabf87c,source/images/48cdffabf87c.png,4072.1704035408893,2288.806021467317
S-050,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,24abfda21027,source/images/24abfda21027.png,939.9892370044436,2368.110167189945
S-051,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,fc5f862ac0e5,source/images/fc5f862ac0e5.png,9054.23818382894,2385.972027250711
S-052,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,9978471dabaa,source/images/9978471dabaa.png,7476.237967773482,2396.29306330319
S-053,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,51db12c79a4e,source/images/51db12c79a4e.png,20389.40855967815,2477.7292698472374
S-054,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,c8ef717e296f,source/images/c8ef717e296f.png,27346.748201665177,2630.010357860476
S-055,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",already_present,processed,bf36e0658763,source/images/bf36e0658763.png,10295.44741875779,2634.6513939858623
S-056,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,9e9ee71f2879,source/images/9e9ee71f2879.png,16812.31039993006,2664.171003681565
S-057,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,32a6ff7d95c6,source/images/32a6ff7d95c6.png,4069.0036554940143,2787.306021467317
S-058,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,7ede7fbc48f1,source/images/7ede7fbc48f1.png,938.6138414171,2842.7767931665076
S-059,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,405f99e37f60,source/images/405f99e37f60.png,9027.995907550532,2861.9570236995714
S-060,R01,R01-D,"buffers, ReceiveAsync accumulation, EndOfMessage and message reconstruction",recovered_new,processed,c82c82ec9a7e,source/images/c82c82ec9a7e.png,20378.289628316543,2932.77685983049
S-061,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,725384538f79,source/images/725384538f79.png,16811.47702590662,3153.6966290571654
S-062,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,bee817ca0e43,source/images/bee817ca0e43.png,10272.329060552724,3159.9822931790404
S-063,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,4247ba824eed,source/images/4247ba824eed.png,4040.003777564327,3231.306082502473
S-064,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,b06702bbaa88,source/images/b06702bbaa88.png,8996.101820192576,3273.0024782450273
S-065,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,1e97d7a58bac,source/images/1e97d7a58bac.png,933.4402504144709,3365.286235950145
S-066,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,5f819ea07f1e,source/images/5f819ea07f1e.png,20395.414869629283,3392.9063241162003
S-067,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,6c91b7a575fa,source/images/6c91b7a575fa.png,10264.218017258454,3437.9822931790404
S-068,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,49cd7f1d62a4,source/images/49cd7f1d62a4.png,13579.771480433918,3545.9850340471985
S-069,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,b202a76aafd8,source/images/b202a76aafd8.png,7428.886025499176,3623.830077734612
S-070,R01,R01-E,"ClientWebSocket options, HTTP upgrade, headers, middleware and transport setup",recovered_new,processed,42aa9055a6e7,source/images/42aa9055a6e7.png,4041.186779026668,3675.5868253293884
