image_use_id,region_candidate,recovery_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,recovered_new,4d3952723852,image-b9266f0da0446241691d093576e3506171304b3b,24851.437710008628,334.29833706945647,739.0,482.0,886,578,source/images/4d3952723852.png
S-002,R01,recovered_new,7c47a77d6a53,image-24e2a9205a40a3139155e815cf826fa91f18421b,26149.570952366892,382.6326516331392,763.0,151.0,763,151,source/images/7c47a77d6a53.png
S-003,R01,recovered_new,ca160f3b01b6,image-377a157498f5181dc6658730aee4638a8f757b6c,23323.928920950515,400.965068470352,701.0,482.0,827,569,source/images/ca160f3b01b6.png
S-004,R01,recovered_new,945140e59946,image-929bb71d30a6c2fa9d566418451af8d8b77e17b8,10322.657966800036,488.3263054629642,804.0,463.0,1017,586,source/images/945140e59946.png
S-005,R01,recovered_new,aeee04746fc4,image-5afbcbd63ae79037d84d573f50c6f129f1ee4c23,27317.833011637802,518.3080736250122,771.0,482.0,842,527,source/images/aeee04746fc4.png
S-006,R01,already_present,8706118b38f9,image-b5f418661bfc86aefc082c8d747d5ee3164c1650,20396.41758993817,522.9253733195583,689.0,482.0,907,635,source/images/8706118b38f9.png
S-007,R01,recovered_new,091f62cba583,image-7e86c49af377aa17def3f3315dea4e2564db132f,26174.519797262084,549.0215269586552,621.0,401.0,815,527,source/images/091f62cba583.png
S-008,R01,recovered_new,a3b84523d640,image-3822c8ba3f16e57074c343eef96cd624e1beb25e,12956.409036750016,559.9765814954353,906.0,482.0,926,493,source/images/a3b84523d640.png
S-009,R01,recovered_new,7b28dd27c533,image-df83e0b49f7d5d27e1cecf4f5d8c12698fb9c0df,16854.996361130696,599.8669541503186,871.0,257.0,871,257,source/images/7b28dd27c533.png
S-010,R01,recovered_new,e3974a414d99,image-7b0828acb3a83918b1fd60d7fb057395199c3e6c,4157.503655494014,607.8059604321606,844.0,226.0,844,226,source/images/e3974a414d99.png
S-011,R01,recovered_new,7d319c041482,image-69416749f691a6950e8c19347cf0b05ca6ad6f44,15125.329735154135,620.2001603270764,1045.0,399.0,1045,399,source/images/7d319c041482.png
S-012,R01,recovered_new,e62dae350c40,image-28cfae3d2209881bcbeeae0a90ffe3f8ab620851,5394.5538891638535,626.4805041128857,427.0,482.0,504,569,source/images/e62dae350c40.png
S-013,R01,recovered_new,52a22b0d46a7,image-335df60193625f45c0a2b2e5a98582130fe72c2a,910.7252291550758,695.5442187036169,917.0,367.0,917,367,source/images/52a22b0d46a7.png
S-014,R01,recovered_new,67dfefa54a95,image-da3a07fbfaf5d7c0e783fc2ec093c8e94845b384,24802.20539019808,846.7878834117946,879.0,444.0,879,444,source/images/67dfefa54a95.png
S-015,R01,recovered_new,2aa40ee3b049,image-bacc95cfdd0217c89253d6c666e109fd4ba02ad3,4110.337151587764,886.9727084790356,885.0,409.0,885,409,source/images/2aa40ee3b049.png
S-016,R01,recovered_new,f911c9d4b7e8,image-798c9f6c3bdfbdecb2081246d33861065f784cfc,16759.003667129517,895.5641304522505,989.0,482.0,1005,490,source/images/f911c9d4b7e8.png
S-017,R01,recovered_new,c0c171d8f708,image-af41e7619899d62a6a9b7207535c408f00226342,23300.44716709794,902.6061484597085,811.0,456.0,811,456,source/images/c0c171d8f708.png
S-018,R01,recovered_new,2836691d681c,image-6e7341e581d46c61376a8ff15860208a0f9aee86,7500.719358832509,930.348652767163,857.0,400.0,857,400,source/images/2836691d681c.png
S-019,R01,recovered_new,9bd194288e8c,image-0337b46719ee841e0ed79f19f1e7285cc149ccb5,26171.515410374705,980.6882343154357,824.0,322.0,824,322,source/images/9bd194288e8c.png
S-020,R01,recovered_new,69ad181e0816,image-4910dbb28ca3c21b024fd0ea9872a42e9bd85fb5,10329.731098486433,994.9929408295575,756.0,463.0,815,499,source/images/69ad181e0816.png
S-021,R01,already_present,211f4c16adb2,image-39390414055bb4131b46b4192cf8903f57398d29,20383.988673452724,1025.9847378340273,604.0,463.0,804,616,source/images/211f4c16adb2.png
S-022,R01,recovered_new,7213a6739d46,image-a96de9fdf99ca0e4441af32e5ba61fa4bfa6b737,27288.61046500202,1037.663666340588,806.0,355.0,806,355,source/images/7213a6739d46.png
S-023,R01,recovered_new,04469034a6f6,image-8dfbb39639ce2039407e837aefeb88df93b8d054,12986.816471797716,1056.2995235934122,894.0,303.0,894,303,source/images/04469034a6f6.png
S-024,R01,recovered_new,feaa1b297f01,image-9fa6bbaa83e94a84b6140a41111d039bd05847f1,15186.886746802882,1058.544032397389,842.0,482.0,974,558,source/images/feaa1b297f01.png
S-025,R01,recovered_new,dc7fe6aaba2a,image-4e63d519b25127816651dab97e274105c7230690,938.8770145005255,1072.110167189945,680.0,482.0,833,591,source/images/dc7fe6aaba2a.png
S-026,R01,recovered_new,94b7fe3d06b6,image-06c68c7bf36b02825265dc4d5eb8318837a1575d,24790.675050176775,1321.7878834118019,856.0,374.0,856,374,source/images/94b7fe3d06b6.png
S-027,R01,recovered_new,c03536ca2994,image-cedd51a5b684ab83534362b4fed095c7a5d7f6ec,4092.3371515877643,1321.806021467317,937.0,446.0,937,446,source/images/c03536ca2994.png
