source_id,expected_stage,expected_region,expected_status,ledger_region,ledger_status,decision_is_final,must_recheck_before_region_close,bad_placeholder_signal_found,closure_ok
S-001,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-002,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-003,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-004,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-005,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-006,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-007,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-008,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-009,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-010,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
S-011,WorkingWithBytesStreams Stage1,BYTES-R01,processed-in-bytes-r01-v001,BYTES-R01,processed-in-bytes-r01-v001,yes-for-bytes-r01-stage1,no-for-stage1-semantic-transcript,no,yes
