source_id,image_use_id,fileId,fileId_short,image_file,x,y,width,height,nearest_labels_for_search_only,coverage_status,current_region_decision,decision_is_final,must_recheck_before_region_close,decision_basis,review_notes,stage0_group_key
S-001,IU-001,95a8895a79065716e7b391e644d8101d39c9182e,95a8895a79,S-001__95a8895a79.png,4382.675,359.142,847.0,482.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-002,IU-002,c837ff2c4493f283f071e9bf84530f47dcf87880,c837ff2c44,S-002__c837ff2c44.png,5623.537,385.593,891.0,441.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-003,IU-003,41330f01f890f091db2781df5f390b747cc43f40,41330f01f8,S-003__41330f01f8.png,1702.721,726.333,965.0,346.0,toArray and readasbytearray | Read Exactly | When to use what for reading | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | readatleast | compact methods conspect,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-004,IU-004,d1973d9e80e448a347a9ff4e487ace7ad83c17d7,d1973d9e80,S-004__d1973d9e80.png,5687.22,841.274,916.0,482.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-005,IU-005,7c6ce4cc9529eedf585eeb5138b3ecd7e5314630,7c6ce4cc95,S-005__7c6ce4cc95.png,4417.183,972.447,923.0,406.0,When to use what for reading | toArray and readasbytearray | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-006,IU-006,ea3dbd065304d4062bde8cbc350249b9e1d1a2bb,ea3dbd0653,S-006__ea3dbd0653.png,1736.697,1117.226,864.0,209.0,toArray and readasbytearray | Read Exactly | with readasync we read bytes | that are available | When to use what for reading | but we can get more bytes later | with this we get all without loop | (implicit loooping) | readatleast | compact methods conspect,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-007,IU-007,0b3dffb71c4dd3d8b35c28fb99fe6e4eba056731,0b3dffb71c,S-007__0b3dffb71c.png,1753.493,1314.393,943.0,348.0,Read Exactly | toArray and readasbytearray | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | When to use what for reading | readatleast | compact methods conspect,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-008,IU-008,6b4d0bf47c6a7d9019cb66b33ca420f335e0bddb,6b4d0bf47c,S-008__6b4d0bf47c.png,5751.208,1351.771,776.0,321.0,When to use what for reading | Read Exactly | compact methods conspect | toArray and readasbytearray | readasync | can limit upper bound | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-009,IU-009,347881d8ab2fd0cf79e53b54c8035b47f006ad8d,347881d8ab,S-009__347881d8ab.png,4449.182,1424.422,939.0,300.0,When to use what for reading | Read Exactly | compact methods conspect | toArray and readasbytearray | readasync | can limit upper bound | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-010,IU-010,91c91316b9bf401d8fb235f50ca92e2872454586,91c91316b9,S-010__91c91316b9.png,5747.708,1693.437,933.0,361.0,When to use what for reading | Read Exactly | compact methods conspect | readasync | can limit upper bound | toArray and readasbytearray | can use a slice | with readasync we read bytes | that are available | but we can get more bytes later,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-011,IU-011,620e004fe133e4744740dc66842a91d92936c165,620e004fe1,S-011__620e004fe1.png,1765.493,1697.615,919.0,346.0,Read Exactly | toArray and readasbytearray | with readasync we read bytes | that are available | but we can get more bytes later | with this we get all without loop | (implicit loooping) | readatleast | When to use what for reading | compact methods conspect,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
S-012,IU-012,84e92f8ecbb210f765d7174846f2d129312031e1,84e92f8ecb,S-012__84e92f8ecb.png,4470.913,1742.114,834.0,120.0,When to use what for reading | Read Exactly | compact methods conspect | readasync | can limit upper bound | with readasync we read bytes | that are available | toArray and readasbytearray | but we can get more bytes later | with this we get all without loop,bytes-r01-stream-to-byte-array-candidate-stage0,BYTES-R01,no-stage0-boundary-review-only,yes-for-bytes-r01,"Stage0 boundary candidate only: Stream/bytes conversion basics: Stream to byte[], MemoryStream, ToArray/ReadAsByteArray-style helpers, when reading the whole stream is acceptable.",Stage0 boundary candidate only. Do not mark processed until visible transcript exists.,BYTES-R01-stream-to-byte-array-toarray-readasbytearray
