image_use_id,region,semantic_topic,semantic_review_status,sha256_12,symbol_id,x,y,display_width,display_height,source_width,source_height,asset_path
S-001,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,35446462d57b,image-31993703d56f92076dbcb4fb4d50229ccb9ff4dd,5827.631707642204,180.21757480936503,897.0,364.0,897,364,source/images/35446462d57b.png
S-002,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,80cce810bacd,image-be6723803644cdacef69bac45c68ed1719c74a7d,5841.096751651343,633.7279168776222,778.0,482.0,987,612,source/images/80cce810bacd.png
S-003,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,df92552a6fd7,image-f510f28e1a3f9d3ee67c8887bd2e047f96ff000e,5839.59434056321,1148.2545824592162,929.0,194.0,929,194,source/images/df92552a6fd7.png
S-004,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,2362718f61ba,image-fe2f092fab167d3e64140e60eaa8597679d45505,5840.007145931362,1350.7649991258731,887.0,482.0,1024,557,source/images/2362718f61ba.png
S-005,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,a3fd0d7cefd6,image-e51fd52309c1d769b1d114f068dac75e23b97fee,5851.612949504181,1837.624930223952,982.0,436.0,982,436,source/images/a3fd0d7cefd6.png
S-006,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,2cbbdbc5c393,image-5f449934329e094a94937287d0e29904171c6a5e,2227.496020131606,2267.16604857341,823.0,482.0,1008,591,source/images/2cbbdbc5c393.png
S-007,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,72c1edbd8a3b,image-00f5c13c4ad388f4cb1d928f70cb4a21e25f1e98,5882.001838393071,2290.4952779887026,1019.0,431.0,1019,431,source/images/72c1edbd8a3b.png
S-008,R04,"async actions, get guards, duplicate-fetch prevention, subscribe and middleware overview",processed,311a399c86a6,image-02a6ae141ed3c86592780dec7fa378d8724c7a1b,7809.834660138991,2346.7495720648876,839.0,239.0,839,239,source/images/311a399c86a6.png
S-009,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,646d01a784bf,image-88387672f0129c63921ce8aa94d15a3667e07ca0,4105.0565479310335,2378.830941807777,913.0,482.0,1015,536,source/images/646d01a784bf.png
S-010,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,a8d119b8f4da,image-e1e969908bc3cdf8abf249a88114fc7a4dd53ae4,270.17463072016653,2515.673715817087,814.0,482.0,984,583,source/images/a8d119b8f4da.png
S-011,R04,"async actions, get guards, duplicate-fetch prevention, subscribe and middleware overview",processed,963d1f2831f1,image-a880b81ddbb3e95679c287b4fa2fd8dc8b44be81,7811.8340486844145,2618.205232023829,985.0,361.0,985,361,source/images/963d1f2831f1.png
S-012,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,a71d813d929e,image-618a65c28a8de349200128ce48ec36142cccc605,5908.724060615294,2748.199060812054,1010.0,203.0,1010,203,source/images/a71d813d929e.png
S-013,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,71c66feecdbb,image-df195455eac71dca2f0183c006d8e93a2d9e9374,2068.1307154825754,2867.34840101796,1011.0,392.0,1011,392,source/images/71c66feecdbb.png
S-014,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,128147bfbe8c,image-f6cafc6ad5053ac6d7b0e0b2c1053d538bfff0e9,4129.753088126425,2893.6846529862305,913.0,125.0,913,125,source/images/128147bfbe8c.png
S-015,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,982e8f4ab9e2,image-173cc1bc8a9d70dfc07917f2a5534858f2e37a60,5878.128007856805,2986.320554681406,944.0,482.0,951,486,source/images/982e8f4ab9e2.png
S-016,R04,"async actions, get guards, duplicate-fetch prevention, subscribe and middleware overview",processed,50b322e6408c,image-0b99d35448dbeb77c7d9aeb45a7502428ac7a394,7838.155684542466,2996.877209259772,888.0,458.0,955,493,source/images/50b322e6408c.png
S-017,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,9772c5d7a9cd,image-00be325d318191887e975ac68974fa3d0c5e23a9,4125.282607905308,3029.823338811213,971.0,427.0,971,427,source/images/9772c5d7a9cd.png
S-018,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,70874d8cd87e,image-9f01b512f706e6329a837a6c41f07cf0a5190743,277.6735121189431,3034.006921993845,729.0,482.0,978,647,source/images/70874d8cd87e.png
S-019,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,bc1c01bbd03d,image-fdf2d679186b5c3c4826eb2a208a0e3cc97882ee,2135.790021206094,3344.494127485945,994.0,416.0,994,416,source/images/bc1c01bbd03d.png
S-020,R04,"async actions, get guards, duplicate-fetch prevention, subscribe and middleware overview",processed,8326af7aa74c,image-0fa909b4aa6914d73606ec844b3b8e460754bc48,9195.919239761552,3415.620962427216,892.0,482.0,1078,583,source/images/8326af7aa74c.png
S-021,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,c128a61413d5,image-0a741c29000a1fec26c34888a366f98381f17d12,4133.7687776345465,3465.7251168469666,980.0,470.0,980,470,source/images/c128a61413d5.png
S-022,R01,"store creation, set/get, selectors, updates, shallow merge and multiple-notification behavior",processed,a7bb4e4eae68,image-2d3f3b15bcac4bba75e0949dd101b512b2b360a3,5928.205587308002,3480.8101210605214,894.0,300.0,894,300,source/images/a7bb4e4eae68.png
